benchmark,image_id,label,prob_e6c,prob_e20,pred_e20,prob_e21,pred_e21,prob_e22,pred_e22,prob_e23,pred_e23,route_decision_win,prob_e23_pure,pred_e23_pure,route_decision_pure,complementarity_type,e20_vs_e23_transition,e21_vs_e23_transition,generator,device_family,filepath
E14 Clean External,ai_sb_midjourney-v5_147_r1bdb6385t,AI,0.891602,0.182739,0,0.897461,1,0.825989,1,0.825989,1,Blend,0.897461,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,midjourney-v5,Synthbuster,data/final_external_pool/ai/ai_sb_midjourney-v5_147_r1bdb6385t.png
E14 Clean External,real_raise_043_r057282fet,Real,0.963379,0.458008,0,0.991699,1,0.938330,1,0.938330,1,Blend,0.991699,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_043_r057282fet.png
E14 Clean External,real_raise_092_r0b755540t,Real,0.251709,0.144531,0,0.715332,1,0.658252,1,0.658252,1,Blend,0.715332,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_092_r0b755540t.png
E14 Clean External,real_raise_supp_035_r12cbfb1et,Real,0.774902,0.015015,0,0.692871,1,0.625085,1,0.625085,1,Blend,0.692871,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_supp_035_r12cbfb1et.png
E14 Clean External,ai_sb_stable-diffusion-1-3_160_r09a60f63t,AI,0.684082,0.573242,1,0.824707,1,0.799561,1,0.799561,1,Blend,0.573242,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,stable-diffusion-1-3,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-1-3_160_r09a60f63t.png
E14 Clean External,ai_sb_dalle3_059_r1d9a31fct,AI,0.985840,0.969238,1,0.999023,1,0.996045,1,0.996044,1,Blend,0.969238,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,dalle3,Synthbuster,data/final_external_pool/ai/ai_sb_dalle3_059_r1d9a31fct.png
E14 Clean External,ai_sb_glide_091_r000da54ft,AI,0.959473,0.572266,1,0.848145,1,0.820557,1,0.820557,1,Blend,0.572266,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,glide,Synthbuster,data/final_external_pool/ai/ai_sb_glide_091_r000da54ft.png
E14 Clean External,ai_sb_firefly_068_r07cfb432t,AI,0.403320,0.280518,0,0.833008,1,0.777759,1,0.777759,1,Blend,0.833008,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,firefly,Synthbuster,data/final_external_pool/ai/ai_sb_firefly_068_r07cfb432t.png
E14 Clean External,real_raise_046_r05db7e7ft,Real,0.017380,0.000718,0,0.304932,0,0.274510,0,0.274511,0,Blend,0.000718,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_046_r05db7e7ft.png
E14 Clean External,ai_sb_firefly_069_r08996953t,AI,0.371826,0.067932,0,0.958496,1,0.869440,1,0.869440,1,Blend,0.958496,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,firefly,Synthbuster,data/final_external_pool/ai/ai_sb_firefly_069_r08996953t.png
E14 Clean External,real_raise_supp_004_r01d0b83bt,Real,0.048950,0.036285,0,0.441895,0,0.401334,0,0.401334,0,Blend,0.036285,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_supp_004_r01d0b83bt.png
E14 Clean External,ai_sb_midjourney-v5_130_r09a60f63t,AI,0.941406,0.992676,1,0.943848,1,0.948730,1,0.948731,1,Blend,0.992676,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,midjourney-v5,Synthbuster,data/final_external_pool/ai/ai_sb_midjourney-v5_130_r09a60f63t.png
E14 Clean External,real_raise_191_r18d72ab2t,Real,0.007095,0.003901,0,0.470947,0,0.424243,0,0.424242,0,Blend,0.003901,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_191_r18d72ab2t.png
E14 Clean External,real_raise_208_r1aa53167t,Real,0.003223,0.031677,0,0.410156,0,0.372308,0,0.372308,0,Blend,0.031677,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_208_r1aa53167t.png
E14 Clean External,real_raise_202_r1a4651edt,Real,0.004055,0.009521,0,0.155518,0,0.140918,0,0.140918,0,Blend,0.009521,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_202_r1a4651edt.png
E14 Clean External,ai_sb_dalle2_003_r026b5360t,AI,0.872070,0.254639,0,0.934570,1,0.866577,1,0.866577,1,Blend,0.934570,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,dalle2,Synthbuster,data/final_external_pool/ai/ai_sb_dalle2_003_r026b5360t.png
E14 Clean External,ai_sb_supp_dalle2_002_r002fc3e2t,AI,0.596191,0.795410,1,0.993652,1,0.973828,1,0.973828,1,Blend,0.795410,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,dalle2,Synthbuster,data/final_external_pool/ai/ai_sb_supp_dalle2_002_r002fc3e2t.png
E14 Clean External,ai_sb_firefly_075_r0f5beb66t,AI,0.017441,0.003075,0,0.183105,0,0.165102,0,0.165102,0,Blend,0.003075,0,E20,both_wrong,E20_wrong__E23_wrong,E21_wrong__E23_wrong,firefly,Synthbuster,data/final_external_pool/ai/ai_sb_firefly_075_r0f5beb66t.png
E14 Clean External,ai_sb_midjourney-v5_146_r1ad2de34t,AI,0.880859,0.043121,0,0.844238,1,0.764127,1,0.764126,1,Blend,0.844238,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,midjourney-v5,Synthbuster,data/final_external_pool/ai/ai_sb_midjourney-v5_146_r1ad2de34t.png
E14 Clean External,ai_sb_stable-diffusion-2_231_r159d3942t,AI,0.105225,0.182373,0,0.105591,0,0.113269,0,0.113269,0,Blend,0.182373,0,E20,both_wrong,E20_wrong__E23_wrong,E21_wrong__E23_wrong,stable-diffusion-2,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-2_231_r159d3942t.png
E14 Clean External,real_raise_075_r09851aa4t,Real,0.003311,0.020294,0,0.222168,0,0.201981,0,0.201981,0,Blend,0.020294,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_075_r09851aa4t.png
E14 Clean External,real_raise_110_r0ea0825ft,Real,0.010948,0.650391,1,0.798828,1,0.783984,1,0.783984,1,Blend,0.650391,1,E20,both_wrong,E20_wrong__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_110_r0ea0825ft.png
E14 Clean External,ai_sb_glide_109_r138ad247t,AI,0.483154,0.233521,0,0.991699,1,0.915881,1,0.915881,1,Blend,0.991699,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,glide,Synthbuster,data/final_external_pool/ai/ai_sb_glide_109_r138ad247t.png
E14 Clean External,ai_sb_stable-diffusion-1-4_192_r0b7b1156t,AI,0.854980,0.302002,0,0.946289,1,0.881860,1,0.881860,1,Blend,0.946289,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,stable-diffusion-1-4,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-1-4_192_r0b7b1156t.png
E14 Clean External,real_raise_230_r1d00d8ect,Real,0.752930,0.034943,0,0.827637,1,0.748367,1,0.748368,1,Blend,0.827637,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_230_r1d00d8ect.png
E14 Clean External,ai_sb_dalle3_056_r1ad2de34t,AI,0.996094,0.720703,1,0.999023,1,0.971191,1,0.971191,1,Blend,0.720703,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,dalle3,Synthbuster,data/final_external_pool/ai/ai_sb_dalle3_056_r1ad2de34t.png
E14 Clean External,real_raise_072_r09445479t,Real,0.154663,0.016525,0,0.858887,1,0.774651,1,0.774651,1,Blend,0.858887,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_072_r09445479t.png
E14 Clean External,ai_sb_stable-diffusion-1-3_179_r1d9a31fct,AI,0.024887,0.001668,0,0.312744,0,0.281637,0,0.281636,0,Blend,0.001668,0,E20,both_wrong,E20_wrong__E23_wrong,E21_wrong__E23_wrong,stable-diffusion-1-3,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-1-3_179_r1d9a31fct.png
E14 Clean External,ai_sb_dalle2_010_r09a60f63t,AI,0.960449,0.994141,1,0.988281,1,0.988867,1,0.988867,1,Blend,0.994141,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,dalle2,Synthbuster,data/final_external_pool/ai/ai_sb_dalle2_010_r09a60f63t.png
E14 Clean External,real_raise_supp_050_r1a8ee526t,Real,0.853027,0.121277,0,0.902832,1,0.824677,1,0.824676,1,Blend,0.902832,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_supp_050_r1a8ee526t.png
E14 Clean External,real_raise_022_r02f1ba48t,Real,0.796875,0.020096,0,0.795898,1,0.718318,1,0.718318,1,Blend,0.795898,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_022_r02f1ba48t.png
E14 Clean External,ai_sb_glide_092_r0150031ft,AI,0.999023,0.280273,0,0.966309,1,0.897705,1,0.897705,1,Blend,0.966309,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,glide,Synthbuster,data/final_external_pool/ai/ai_sb_glide_092_r0150031ft.png
E14 Clean External,real_raise_158_r14289905t,Real,0.307617,0.005577,0,0.726074,1,0.654025,1,0.654024,1,Blend,0.726074,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_158_r14289905t.png
E14 Clean External,real_raise_210_r1ae12b3ft,Real,0.006340,0.212280,0,0.285156,0,0.277869,0,0.277868,0,Blend,0.212280,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_210_r1ae12b3ft.png
E14 Clean External,ai_sb_stable-diffusion-1-4_208_r1c9fdcf4t,AI,0.846191,0.018188,0,0.899902,1,0.811731,1,0.811731,1,Blend,0.899902,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,stable-diffusion-1-4,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-1-4_208_r1c9fdcf4t.png
E14 Clean External,ai_sb_glide_097_r06743f8ft,AI,0.999512,0.598633,1,0.927246,1,0.894385,1,0.894385,1,Blend,0.598633,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,glide,Synthbuster,data/final_external_pool/ai/ai_sb_glide_097_r06743f8ft.png
E14 Clean External,ai_sb_stable-diffusion-1-3_151_r000da54ft,AI,0.917969,0.009560,0,0.970215,1,0.874149,1,0.874150,1,Blend,0.970215,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,stable-diffusion-1-3,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-1-3_151_r000da54ft.png
E14 Clean External,ai_sb_firefly_070_r09a60f63t,AI,0.929199,0.992188,1,0.992676,1,0.992627,1,0.992627,1,Blend,0.992188,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,firefly,Synthbuster,data/final_external_pool/ai/ai_sb_firefly_070_r09a60f63t.png
E14 Clean External,real_raise_189_r187df69ft,Real,0.114197,0.023865,0,0.865234,1,0.781097,1,0.781097,1,Blend,0.865234,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_189_r187df69ft.png
E14 Clean External,ai_sb_stable-diffusion-2_234_r1900f7c7t,AI,0.015671,0.001427,0,0.903809,1,0.813570,1,0.813571,1,Blend,0.903809,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,stable-diffusion-2,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-2_234_r1900f7c7t.png
E14 Clean External,ai_sb_firefly_088_r1c9fdcf4t,AI,0.818359,0.348389,0,0.998047,1,0.933081,1,0.933081,1,Blend,0.998047,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,firefly,Synthbuster,data/final_external_pool/ai/ai_sb_firefly_088_r1c9fdcf4t.png
E14 Clean External,real_raise_180_r173ee7e8t,Real,0.009163,0.011421,0,0.266846,0,0.241303,0,0.241304,0,Blend,0.011421,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_180_r173ee7e8t.png
E14 Clean External,real_raise_supp_022_r0b3220e1t,Real,0.098938,0.034424,0,0.909668,1,0.822144,1,0.822144,1,Blend,0.909668,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_supp_022_r0b3220e1t.png
E14 Clean External,ai_sb_stable-diffusion-2_228_r1297fd0bt,AI,0.942383,0.976562,1,0.993652,1,0.991943,1,0.991943,1,Blend,0.976562,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,stable-diffusion-2,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-2_228_r1297fd0bt.png
E14 Clean External,ai_sb_stable-diffusion-2_219_r08996953t,AI,0.976074,0.156006,0,0.997559,1,0.913403,1,0.913404,1,Blend,0.997559,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,stable-diffusion-2,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-2_219_r08996953t.png
E14 Clean External,ai_sb_stable-diffusion-1-3_171_r159d3942t,AI,0.277100,0.003016,0,0.666504,1,0.600155,1,0.600155,1,Blend,0.666504,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,stable-diffusion-1-3,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-1-3_171_r159d3942t.png
E14 Clean External,real_raise_102_r0cfedd72t,Real,0.224731,0.010208,0,0.341309,0,0.308199,0,0.308199,0,Blend,0.010208,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_102_r0cfedd72t.png
E14 Clean External,ai_sb_stable-diffusion-1-4_193_r0cd4ffb0t,AI,0.990234,0.195923,0,0.997559,1,0.917395,1,0.917395,1,Blend,0.997559,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,stable-diffusion-1-4,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-1-4_193_r0cd4ffb0t.png
E14 Clean External,real_raise_170_r15f16465t,Real,0.507324,0.018127,0,0.503906,1,0.455328,0,0.455328,0,Blend,0.503906,1,E21,E20_correct__E21_wrong,E20_correct__E23_correct,E21_wrong__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_170_r15f16465t.png
E14 Clean External,ai_sb_glide_118_r1c9fdcf4t,AI,0.998535,0.582031,1,0.982910,1,0.942822,1,0.942822,1,Blend,0.582031,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,glide,Synthbuster,data/final_external_pool/ai/ai_sb_glide_118_r1c9fdcf4t.png
E14 Clean External,real_raise_097_r0c1f588dt,Real,0.707520,0.011070,0,0.775391,1,0.698959,1,0.698959,1,Blend,0.775391,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_097_r0c1f588dt.png
E14 Clean External,real_raise_121_r0faffef3t,Real,0.340820,0.081665,0,0.824219,1,0.749963,1,0.749964,1,Blend,0.824219,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_121_r0faffef3t.png
E14 Clean External,ai_sb_midjourney-v5_138_r1297fd0bt,AI,0.891602,0.646973,1,0.544922,1,0.555127,1,0.555127,1,Blend,0.646973,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,midjourney-v5,Synthbuster,data/final_external_pool/ai/ai_sb_midjourney-v5_138_r1297fd0bt.png
E14 Clean External,real_raise_026_r0372042dt,Real,0.657227,0.362549,0,0.845215,1,0.796948,1,0.796948,1,Blend,0.845215,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_026_r0372042dt.png
E14 Clean External,ai_sb_midjourney-v5_133_r0cd4ffb0t,AI,0.700684,0.750977,1,0.956543,1,0.935986,1,0.935986,1,Blend,0.750977,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,midjourney-v5,Synthbuster,data/final_external_pool/ai/ai_sb_midjourney-v5_133_r0cd4ffb0t.png
E14 Clean External,real_raise_185_r180bcbd7t,Real,0.000385,0.002003,0,0.734375,1,0.661138,1,0.661138,1,Blend,0.734375,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_185_r180bcbd7t.png
E14 Clean External,real_raise_080_r0a19cb85t,Real,0.002811,0.000405,0,0.038391,0,0.034592,0,0.034592,0,Blend,0.000405,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_080_r0a19cb85t.png
E14 Clean External,ai_sb_stable-diffusion-1-4_187_r06743f8ft,AI,0.932129,0.765137,1,0.988770,1,0.966406,1,0.966407,1,Blend,0.765137,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,stable-diffusion-1-4,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-1-4_187_r06743f8ft.png
E14 Clean External,real_raise_123_r0fdfc4f0t,Real,0.461914,0.112427,0,0.535645,1,0.493323,0,0.493323,0,Blend,0.535645,1,E21,E20_correct__E21_wrong,E20_correct__E23_correct,E21_wrong__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_123_r0fdfc4f0t.png
E14 Clean External,ai_sb_glide_107_r116825e2t,AI,0.999512,0.383057,0,0.980469,1,0.920728,1,0.920728,1,Blend,0.980469,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,glide,Synthbuster,data/final_external_pool/ai/ai_sb_glide_107_r116825e2t.png
E14 Clean External,real_raise_045_r05bf2f53t,Real,0.507812,0.369141,0,0.619629,1,0.594580,1,0.594580,1,Blend,0.619629,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_045_r05bf2f53t.png
E14 Clean External,ai_sb_dalle3_053_r17fe8532t,AI,0.919922,0.576660,1,0.979004,1,0.938770,1,0.938770,1,Blend,0.576660,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,dalle3,Synthbuster,data/final_external_pool/ai/ai_sb_dalle3_053_r17fe8532t.png
E14 Clean External,ai_sb_stable-diffusion-2_213_r026b5360t,AI,0.744629,0.909668,1,0.996582,1,0.987891,1,0.987891,1,Blend,0.909668,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,stable-diffusion-2,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-2_213_r026b5360t.png
E14 Clean External,real_raise_018_r0279b17bt,Real,0.007404,0.011330,0,0.154297,0,0.140000,0,0.140000,0,Blend,0.011330,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_018_r0279b17bt.png
E14 Clean External,real_raise_055_r0703243bt,Real,0.138306,0.001755,0,0.868652,1,0.781963,1,0.781962,1,Blend,0.868652,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_055_r0703243bt.png
E14 Clean External,ai_sb_firefly_079_r138ad247t,AI,0.076538,0.017517,0,0.810059,1,0.730804,1,0.730805,1,Blend,0.810059,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,firefly,Synthbuster,data/final_external_pool/ai/ai_sb_firefly_079_r138ad247t.png
E14 Clean External,ai_sb_firefly_090_r1e9082f9t,AI,0.201172,0.011871,0,0.847168,1,0.763638,1,0.763638,1,Blend,0.847168,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,firefly,Synthbuster,data/final_external_pool/ai/ai_sb_firefly_090_r1e9082f9t.png
