filename,ground_truth,error_type,error_reason,e6c_prob,e6c_global_prob,e6c_strongest_local_prob,local_global_discrepancy,e8b_prob,jpeg_quality_est,blockiness_score,native_hf_energy,laplacian_var,width,height
WhatsApp Image 2026-09-17 at 3.38.22 PM.jpeg,REAL,Correct,Both models correct,0.0706,0.0066,0.7106,0.704,0.3058,75.0,1.3698999881744385,0.000559,93.29,1042,1280
WhatsApp Image 2026-09-17 at 3.40.06 PM (1).jpeg,REAL,Correct,Both models correct,0.0328,0.0312,0.449,0.4178,0.4134,75.0,1.6758999824523926,0.000698,97.56,1280,960
WhatsApp Image 2026-09-17 at 3.40.06 PM.jpeg,REAL,Correct,Both models correct,0.013,0.0098,0.0417,0.0319,0.0096,75.0,1.2608000040054321,0.002097,455.26,596,1280
WhatsApp Image 2026-09-17 at 3.44.10 PM (1).jpeg,REAL,E8B_Real_FP_Induced,"E8-B over-sensitized by compression training (E6C=0.0141, E8B=0.7441)",0.0141,0.0047,0.0844,0.0797,0.7441,75.0,1.502500057220459,0.0014,80.84,960,1280
WhatsApp Image 2026-09-17 at 3.44.10 PM (2).jpeg,REAL,Correct,Both models correct,0.0038,0.126,0.0048,-0.1212,0.1114,75.0,1.8553999662399292,0.001341,42.07,960,1280
WhatsApp Image 2026-09-17 at 3.44.10 PM (3).jpeg,REAL,E8B_Real_FP_Induced,"E8-B over-sensitized by compression training (E6C=0.0471, E8B=0.7200)",0.0471,0.1435,0.2177,0.0742,0.72,75.0,1.2898000478744507,0.003148,374.8,960,1280
WhatsApp Image 2026-09-17 at 3.44.10 PM (4).jpeg,REAL,Correct,Both models correct,0.0453,0.1857,0.3181,0.1324,0.1206,75.0,1.31850004196167,0.001568,220.22,960,1280
WhatsApp Image 2026-09-17 at 3.44.10 PM (7).jpeg,REAL,Correct,Both models correct,0.0005,0.0007,0.0373,0.0366,0.0122,75.0,1.575700044631958,0.001839,90.87,720,1280
WhatsApp Image 2026-09-17 at 3.44.11 PM (1).jpeg,REAL,Correct,Both models correct,0.0439,0.0078,0.669,0.6612,0.2181,75.0,1.0748000144958496,0.019896,3505.46,720,1280
WhatsApp Image 2026-09-17 at 3.44.11 PM (10).jpeg,REAL,Correct,Both models correct,0.3169,0.0368,0.5157,0.4789,0.0119,75.0,1.580199956893921,0.001259,70.15,1280,720
WhatsApp Image 2026-09-17 at 3.44.11 PM (11).jpeg,REAL,Correct,Both models correct,0.0626,0.1491,0.4151,0.266,0.1152,75.0,1.3698999881744385,0.00127,191.54,720,1280
WhatsApp Image 2026-09-17 at 3.44.11 PM (12).jpeg,REAL,Correct,Both models correct,0.4119,0.6024,0.9341,0.3317,0.3608,75.0,1.246399998664856,0.001614,314.96,591,1280
WhatsApp Image 2026-09-17 at 3.44.11 PM (13).jpeg,REAL,Correct,Both models correct,0.3496,0.2491,0.7368,0.4877,0.3238,75.0,1.5,0.00081,103.44,720,1280
WhatsApp Image 2026-09-17 at 3.44.11 PM (14).jpeg,REAL,Correct,Both models correct,0.1493,0.7424,0.2493,-0.4931,0.415,75.0,1.4825999736785889,0.000379,92.18,591,1280
WhatsApp Image 2026-09-17 at 3.44.11 PM (15).jpeg,REAL,Correct,Both models correct,0.1645,0.5039,0.7105,0.2066,0.389,75.0,1.2086000442504883,0.001206,473.66,591,1280
WhatsApp Image 2026-09-17 at 3.44.11 PM (2).jpeg,REAL,Correct,Both models correct,0.0001,0.0,0.0005,0.0005,0.0068,75.0,1.910099983215332,0.001368,53.68,720,1280
WhatsApp Image 2026-09-17 at 3.44.11 PM (3).jpeg,REAL,Dual_Real_FP,"Both models falsely triggered on Real image (E6C=0.5136, E8B=0.8622)",0.5136,0.5812,0.8067,0.2255,0.8622,75.0,1.267699956893921,0.005443,436.16,720,1280
WhatsApp Image 2026-09-17 at 3.44.11 PM (4).jpeg,REAL,Correct,Both models correct,0.0,0.0,0.0,0.0,0.0004,75.0,1.4284000396728516,0.000686,77.15,720,1280
WhatsApp Image 2026-09-17 at 3.44.11 PM (5).jpeg,REAL,Correct,Both models correct,0.1712,0.5242,0.834,0.3098,0.1296,75.0,1.1223000288009644,0.016426,1447.82,960,1280
WhatsApp Image 2026-09-17 at 3.44.11 PM (7).jpeg,REAL,Correct,Both models correct,0.0073,0.0063,0.0806,0.0743,0.0093,75.0,1.4151999950408936,0.000328,100.59,960,1280
WhatsApp Image 2026-09-17 at 3.44.11 PM (8).jpeg,REAL,Correct,Both models correct,0.0468,0.2406,0.1015,-0.1391,0.0932,75.0,1.2128000259399414,0.002722,546.97,960,1280
WhatsApp Image 2026-09-17 at 3.44.11 PM.jpeg,REAL,Correct,Both models correct,0.0073,0.0348,0.0221,-0.0127,0.0471,75.0,1.569000005722046,0.000664,77.97,720,1280
WhatsApp Image 2026-09-17 at 3.50.51 PM.jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.2390, E8B=0.3468)",0.239,0.2709,0.7448,0.4739,0.3468,75.0,1.2187999486923218,0.000697,365.43,592,1280
WhatsApp Image 2026-09-17 at 3.56.02 PM (1).jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0686, E8B=0.0198)",0.0686,0.0043,0.6646,0.6603,0.0198,75.0,1.253600001335144,0.004244,458.74,1280,720
WhatsApp Image 2026-09-17 at 3.56.02 PM (2).jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.1800, E8B=0.3725)",0.18,0.6553,0.6123,-0.043,0.3725,75.0,1.2340999841690063,0.003857,558.65,592,1280
WhatsApp Image 2026-09-17 at 3.56.02 PM (3).jpeg,AI,Correct,Both models correct,0.7363,0.9642,0.8005,-0.1637,0.8899,75.0,1.3890000581741333,0.001034,157.06,719,1280
WhatsApp Image 2026-09-17 at 3.56.02 PM.jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0796, E8B=0.4132)",0.0796,0.7011,0.0967,-0.6044,0.4132,75.0,1.385699987411499,0.000662,155.41,592,1280
WhatsApp Image 2026-09-17 at 4.13.17 PM (1).jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0029, E8B=0.0029)",0.0029,0.012,0.0096,-0.0024,0.0029,75.0,1.1312999725341797,0.015121,1535.95,720,1280
WhatsApp Image 2026-09-17 at 4.13.17 PM (2).jpeg,AI,Correct,Both models correct,0.805,0.8098,0.8953,0.0855,0.9156,75.0,1.1282999515533447,0.009515,1330.79,720,1280
WhatsApp Image 2026-09-17 at 4.13.17 PM (3).jpeg,AI,Correct,Both models correct,0.7318,0.5067,0.88,0.3733,0.8286,75.0,1.142799973487854,0.012518,1063.05,960,1280
WhatsApp Image 2026-09-17 at 4.13.17 PM (4).jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.1699, E8B=0.3201)",0.1699,0.4426,0.3291,-0.1135,0.3201,75.0,1.253600001335144,0.00314,552.12,960,1280
WhatsApp Image 2026-09-17 at 4.13.17 PM (5).jpeg,AI,Correct,Both models correct,0.5517,0.4665,0.9535,0.487,0.6695,75.0,1.3078999519348145,0.001419,248.59,720,1280
WhatsApp Image 2026-09-17 at 4.13.17 PM.jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0001, E8B=0.0097)",0.0001,0.0006,0.0004,-0.0002,0.0097,75.0,1.5628999471664429,0.00207,135.86,720,1280
WhatsApp Image 2026-09-17 at 4.13.18 PM (1).jpeg,AI,Correct,Both models correct,0.678,0.3506,0.9602,0.6096,0.757,75.0,1.4290000200271606,0.000435,67.97,1042,1280
WhatsApp Image 2026-09-17 at 4.13.18 PM (2).jpeg,AI,E6C_AI_FN_Rescued_By_E8B,E8-B compression awareness rescued AI image (E6C=0.1694 -> E8B=0.7692),0.1694,0.0525,0.8371,0.7846,0.7692,75.0,1.4809999465942383,0.000633,94.09,1280,960
WhatsApp Image 2026-09-17 at 4.13.18 PM (3).jpeg,AI,E6C_AI_FN_Rescued_By_E8B,E8-B compression awareness rescued AI image (E6C=0.2781 -> E8B=0.9867),0.2781,0.7276,0.5879,-0.1397,0.9867,75.0,1.2055000066757202,0.002227,491.08,960,1280
WhatsApp Image 2026-09-17 at 4.13.18 PM (4).jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0566, E8B=0.0558)",0.0566,0.1099,0.1307,0.0208,0.0558,75.0,1.212499976158142,0.003817,608.85,720,1280
WhatsApp Image 2026-09-17 at 4.13.18 PM (5).jpeg,AI,Correct,Both models correct,0.9235,0.9682,0.9926,0.0244,0.9964,75.0,1.3242000341415405,0.001095,198.85,960,1280
WhatsApp Image 2026-09-17 at 4.13.18 PM (6).jpeg,AI,Correct,Both models correct,0.6134,0.0778,0.9321,0.8543,0.9404,75.0,1.0607000589370728,0.018161,3451.95,720,1280
WhatsApp Image 2026-09-17 at 4.13.18 PM.jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.4772, E8B=0.3898)",0.4772,0.9086,0.7315,-0.1771,0.3898,75.0,1.263200044631958,0.000823,261.5,960,1280
WhatsApp Image 2026-09-17 at 4.28.11 PM (1).jpeg,AI,Correct,Both models correct,0.5728,0.7164,0.8046,0.0882,0.6821,75.0,1.4193999767303467,0.000538,107.82,977,1280
WhatsApp Image 2026-09-17 at 4.28.11 PM (2).jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0047, E8B=0.0563)",0.0047,0.0101,0.6406,0.6305,0.0563,75.0,1.3515000343322754,0.001381,212.37,960,1280
WhatsApp Image 2026-09-17 at 4.28.11 PM (3).jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0016, E8B=0.0046)",0.0016,0.0009,0.0118,0.0109,0.0046,75.0,1.2783000469207764,0.00114,266.34,960,1280
WhatsApp Image 2026-09-17 at 4.28.11 PM (4).jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0021, E8B=0.4262)",0.0021,0.0186,0.0032,-0.0154,0.4262,75.0,2.0824999809265137,0.00185,25.36,960,1280
WhatsApp Image 2026-09-17 at 4.28.11 PM (5).jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0837, E8B=0.0718)",0.0837,0.0074,0.8199,0.8125,0.0718,75.0,1.4958000183105469,0.000452,100.33,959,1280
WhatsApp Image 2026-09-17 at 4.28.11 PM (6).jpeg,AI,E6C_AI_FN_Rescued_By_E8B,E8-B compression awareness rescued AI image (E6C=0.3284 -> E8B=0.6556),0.3284,0.4797,0.8238,0.3441,0.6556,75.0,1.3497999906539917,0.00156,239.38,960,1280
WhatsApp Image 2026-09-17 at 4.28.11 PM (7).jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0060, E8B=0.0305)",0.006,0.0006,0.0595,0.0589,0.0305,75.0,1.113800048828125,0.006077,1389.35,960,1280
WhatsApp Image 2026-09-17 at 4.28.11 PM.jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0149, E8B=0.3021)",0.0149,0.3682,0.0195,-0.3487,0.3021,75.0,1.3207999467849731,0.001946,263.02,960,1280
WhatsApp Image 2026-09-17 at 4.31.09 PM.jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.1063, E8B=0.2232)",0.1063,0.3319,0.2092,-0.1227,0.2232,75.0,1.4257999658584595,0.000454,94.63,904,1280
WhatsApp Image 2026-09-17 at 4.37.12 PM (1).jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0022, E8B=0.0305)",0.0022,0.0421,0.1756,0.1335,0.0305,75.0,1.4483000040054321,0.000509,147.39,960,1280
WhatsApp Image 2026-09-17 at 4.37.12 PM (2).jpeg,AI,E6C_AI_FN_Rescued_By_E8B,E8-B compression awareness rescued AI image (E6C=0.3809 -> E8B=0.6298),0.3809,0.7823,0.7785,-0.0038,0.6298,75.0,1.1726000308990479,0.002933,688.96,960,1280
WhatsApp Image 2026-09-17 at 4.37.12 PM (3).jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0019, E8B=0.4665)",0.0019,0.0006,0.0075,0.0069,0.4665,75.0,1.4280999898910522,0.000423,150.69,630,1280
WhatsApp Image 2026-09-17 at 4.37.12 PM.jpeg,AI,E6C_AI_FN_Rescued_By_E8B,E8-B compression awareness rescued AI image (E6C=0.0007 -> E8B=0.5676),0.0007,0.0012,0.0495,0.0483,0.5676,75.0,5.883600234985352,0.000492,6.36,720,1280
WhatsApp Image 2026-09-17 at 4.39.57 PM (1).jpeg,AI,Correct,Both models correct,0.8717,0.0982,0.9586,0.8604,0.9366,75.0,1.1411999464035034,0.002853,675.05,960,1280
WhatsApp Image 2026-09-17 at 4.39.57 PM.jpeg,AI,Dual_AI_FN,"Severely suppressed by WhatsApp compression (E6C=0.0400, E8B=0.1988)",0.04,0.0255,0.2531,0.2276,0.1988,75.0,1.4063999652862549,0.000965,204.3,720,1280
