filename,ground_truth,format,width,height,aspect_ratio,orientation,file_size_kb,color_mode,channels,jpeg_quality_est,jpeg_mean_quant_step,chroma_subsampling,has_exif,exif_orientation,has_icc,blockiness_score
WhatsApp Image 2026-09-17 at 3.44.11 PM (10).jpeg,REAL,JPEG,1280,720,1.7778,Landscape,78.92,RGB,3,75.0,29.03,4:2:0,False,1,False,1.580199956893921
WhatsApp Image 2026-09-17 at 3.44.11 PM (11).jpeg,REAL,JPEG,720,1280,0.5625,Portrait,88.21,RGB,3,75.0,29.03,4:2:0,False,1,False,1.3698999881744385
WhatsApp Image 2026-09-17 at 3.44.11 PM (12).jpeg,REAL,JPEG,591,1280,0.4617,Portrait,73.85,RGB,3,75.0,29.03,4:2:0,False,1,False,1.246399998664856
WhatsApp Image 2026-09-17 at 3.44.11 PM (13).jpeg,REAL,JPEG,720,1280,0.5625,Portrait,72.93,RGB,3,75.0,29.03,4:2:0,False,1,False,1.5
WhatsApp Image 2026-09-17 at 3.44.11 PM (14).jpeg,REAL,JPEG,591,1280,0.4617,Portrait,58.89,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4825999736785889
WhatsApp Image 2026-09-17 at 3.44.11 PM (15).jpeg,REAL,JPEG,591,1280,0.4617,Portrait,125.58,RGB,3,75.0,29.03,4:2:0,False,1,False,1.2086000442504883
WhatsApp Image 2026-09-17 at 3.44.11 PM (2).jpeg,REAL,JPEG,720,1280,0.5625,Portrait,41.41,RGB,3,75.0,29.03,4:2:0,False,1,False,1.910099983215332
WhatsApp Image 2026-09-17 at 3.44.11 PM (3).jpeg,REAL,JPEG,720,1280,0.5625,Portrait,118.8,RGB,3,75.0,29.03,4:2:0,False,1,False,1.267699956893921
WhatsApp Image 2026-09-17 at 3.44.11 PM (4).jpeg,REAL,JPEG,720,1280,0.5625,Portrait,59.04,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4284000396728516
WhatsApp Image 2026-09-17 at 3.44.11 PM (5).jpeg,REAL,JPEG,960,1280,0.75,Portrait,210.32,RGB,3,75.0,29.03,4:2:0,False,1,False,1.1223000288009644
WhatsApp Image 2026-09-17 at 3.44.11 PM (7).jpeg,REAL,JPEG,960,1280,0.75,Portrait,107.05,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4151999950408936
WhatsApp Image 2026-09-17 at 3.44.11 PM (8).jpeg,REAL,JPEG,960,1280,0.75,Portrait,180.31,RGB,3,75.0,29.03,4:2:0,False,1,False,1.2128000259399414
WhatsApp Image 2026-09-17 at 3.44.11 PM.jpeg,REAL,JPEG,720,1280,0.5625,Portrait,79.09,RGB,3,75.0,29.03,4:2:0,False,1,False,1.569000005722046
WhatsApp Image 2026-09-17 at 3.50.51 PM.jpeg,AI,JPEG,592,1280,0.4625,Portrait,125.6,RGB,3,75.0,29.03,4:2:0,False,1,False,1.2187999486923218
WhatsApp Image 2026-09-17 at 3.56.02 PM (1).jpeg,AI,JPEG,1280,720,1.7778,Landscape,128.92,RGB,3,75.0,29.03,4:2:0,False,1,False,1.253600001335144
WhatsApp Image 2026-09-17 at 3.56.02 PM (2).jpeg,AI,JPEG,592,1280,0.4625,Portrait,95.81,RGB,3,75.0,29.03,4:2:0,False,1,False,1.2340999841690063
WhatsApp Image 2026-09-17 at 3.56.02 PM (3).jpeg,AI,JPEG,719,1280,0.5617,Portrait,84.96,RGB,3,75.0,29.03,4:2:0,False,1,False,1.3890000581741333
WhatsApp Image 2026-09-17 at 3.56.02 PM.jpeg,AI,JPEG,592,1280,0.4625,Portrait,66.89,RGB,3,75.0,29.03,4:2:0,False,1,False,1.385699987411499
WhatsApp Image 2026-09-17 at 4.13.17 PM (1).jpeg,AI,JPEG,720,1280,0.5625,Portrait,161.94,RGB,3,75.0,29.03,4:2:0,False,1,False,1.1312999725341797
WhatsApp Image 2026-09-17 at 4.13.17 PM (2).jpeg,AI,JPEG,720,1280,0.5625,Portrait,138.09,RGB,3,75.0,29.03,4:2:0,False,1,False,1.1282999515533447
WhatsApp Image 2026-09-17 at 4.13.17 PM (3).jpeg,AI,JPEG,960,1280,0.75,Portrait,208.71,RGB,3,75.0,29.03,4:2:0,False,1,False,1.142799973487854
WhatsApp Image 2026-09-17 at 4.13.17 PM (4).jpeg,AI,JPEG,960,1280,0.75,Portrait,149.68,RGB,3,75.0,29.03,4:2:0,False,1,False,1.253600001335144
WhatsApp Image 2026-09-17 at 4.13.17 PM (5).jpeg,AI,JPEG,720,1280,0.5625,Portrait,94.5,RGB,3,75.0,29.03,4:2:0,False,1,False,1.3078999519348145
WhatsApp Image 2026-09-17 at 4.13.17 PM.jpeg,AI,JPEG,720,1280,0.5625,Portrait,59.97,RGB,3,75.0,29.03,4:2:0,False,1,False,1.5628999471664429
WhatsApp Image 2026-09-17 at 4.13.18 PM (1).jpeg,AI,JPEG,1042,1280,0.8141,Portrait,145.01,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4290000200271606
WhatsApp Image 2026-09-17 at 4.13.18 PM (2).jpeg,AI,JPEG,1280,960,1.3333,Landscape,98.36,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4809999465942383
WhatsApp Image 2026-09-17 at 4.13.18 PM (3).jpeg,AI,JPEG,960,1280,0.75,Portrait,203.75,RGB,3,75.0,29.03,4:2:0,False,1,False,1.2055000066757202
WhatsApp Image 2026-09-17 at 4.13.18 PM (4).jpeg,AI,JPEG,720,1280,0.5625,Portrait,114.05,RGB,3,75.0,29.03,4:2:0,False,1,False,1.212499976158142
WhatsApp Image 2026-09-17 at 4.13.18 PM (5).jpeg,AI,JPEG,960,1280,0.75,Portrait,155.81,RGB,3,75.0,29.03,4:2:0,False,1,False,1.3242000341415405
WhatsApp Image 2026-09-17 at 4.13.18 PM (6).jpeg,AI,JPEG,720,1280,0.5625,Portrait,206.21,RGB,3,75.0,29.03,4:2:0,False,1,False,1.0607000589370728
WhatsApp Image 2026-09-17 at 4.13.18 PM.jpeg,AI,JPEG,960,1280,0.75,Portrait,145.49,RGB,3,75.0,29.03,4:2:0,False,1,False,1.263200044631958
WhatsApp Image 2026-09-17 at 4.28.11 PM (1).jpeg,AI,JPEG,977,1280,0.7633,Portrait,129.24,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4193999767303467
WhatsApp Image 2026-09-17 at 4.28.11 PM (2).jpeg,AI,JPEG,960,1280,0.75,Portrait,110.57,RGB,3,75.0,29.03,4:2:0,False,1,False,1.3515000343322754
WhatsApp Image 2026-09-17 at 4.28.11 PM (3).jpeg,AI,JPEG,960,1280,0.75,Portrait,154.8,RGB,3,75.0,29.03,4:2:0,False,1,False,1.2783000469207764
WhatsApp Image 2026-09-17 at 4.28.11 PM (4).jpeg,AI,JPEG,960,1280,0.75,Portrait,60.05,RGB,3,75.0,29.03,4:2:0,False,1,False,2.0824999809265137
WhatsApp Image 2026-09-17 at 4.28.11 PM (5).jpeg,AI,JPEG,959,1280,0.7492,Portrait,102.39,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4958000183105469
WhatsApp Image 2026-09-17 at 4.28.11 PM (6).jpeg,AI,JPEG,960,1280,0.75,Portrait,126.69,RGB,3,75.0,29.03,4:2:0,False,1,False,1.3497999906539917
WhatsApp Image 2026-09-17 at 4.28.11 PM (7).jpeg,AI,JPEG,960,1280,0.75,Portrait,270.94,RGB,3,75.0,29.03,4:2:0,False,1,False,1.113800048828125
WhatsApp Image 2026-09-17 at 4.28.11 PM.jpeg,AI,JPEG,960,1280,0.75,Portrait,139.17,RGB,3,75.0,29.03,4:2:0,False,1,False,1.3207999467849731
WhatsApp Image 2026-09-17 at 4.31.09 PM.jpeg,AI,JPEG,904,1280,0.7063,Portrait,115.58,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4257999658584595
WhatsApp Image 2026-09-17 at 4.37.12 PM (1).jpeg,AI,JPEG,960,1280,0.75,Portrait,105.52,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4483000040054321
WhatsApp Image 2026-09-17 at 4.37.12 PM (2).jpeg,AI,JPEG,960,1280,0.75,Portrait,201.87,RGB,3,75.0,29.03,4:2:0,False,1,False,1.1726000308990479
WhatsApp Image 2026-09-17 at 4.37.12 PM (3).jpeg,AI,JPEG,630,1280,0.4922,Portrait,53.3,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4280999898910522
WhatsApp Image 2026-09-17 at 4.37.12 PM.jpeg,AI,JPEG,720,1280,0.5625,Portrait,18.93,RGB,3,75.0,29.03,4:2:0,False,1,False,5.883600234985352
WhatsApp Image 2026-09-17 at 4.39.57 PM (1).jpeg,AI,JPEG,960,1280,0.75,Portrait,249.47,RGB,3,75.0,29.03,4:2:0,False,1,False,1.1411999464035034
WhatsApp Image 2026-09-17 at 4.39.57 PM.jpeg,AI,JPEG,720,1280,0.5625,Portrait,71.85,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4063999652862549
