image_id,filepath,label,source_dataset,generator,generator_version,device_family,device_model,compression_status,compression_type,jpeg_quality_if_known,derived_from,split,provenance,license,sha256,dhash,ahash
e20_train_00003_moderate_jpeg,images/train/e20_train_00003_moderate_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,synthetic_compression,moderate_jpeg,65,e20_train_00003_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: jpeg65_subsampling420,Academic Research Use / rawir,a3a2a85625608a529f26a1deeb6f2f46b83d3da4c1641bb936777081dd439b16,66626a72b2ba7a70,363e3e1e1e1f0f1e
e20_train_00003_severe_jpeg,images/train/e20_train_00003_severe_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,synthetic_compression,severe_jpeg,40,e20_train_00003_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: jpeg40_subsampling420,Academic Research Use / rawir,27c8e2195c748d50ca2430c2d282b34f1f742c726b5bcffcf3b41f2dad9f703a,66626a72b2ba7a70,363e3e1e1e1f0f1e
e20_train_00003_sequential_jpeg,images/train/e20_train_00003_sequential_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,synthetic_compression,sequential_jpeg,60,e20_train_00003_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: sequential_jpeg85_jpeg60,Academic Research Use / rawir,c5352002944065d2f3c310f02cc7bfbb093782ec16a88c57fbf0f22b689ac59c,66626a72b2ba7a70,363e3e1e1e1f0f1e
e20_train_00003_resize_jpeg_resize,images/train/e20_train_00003_resize_jpeg_resize.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,synthetic_compression,resize_jpeg_resize,75,e20_train_00003_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: downscale60_jpeg75_upscale,Academic Research Use / rawir,efaeff040d450df95c83103c146754c9b856b3efe3cceacfb146e886fb4a4223,66626a72b2ba7a70,363e3e1e1e1f0f1e
e20_train_00003_social_media_whatsapp,images/train/e20_train_00003_social_media_whatsapp.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,synthetic_compression,social_media_whatsapp,75,e20_train_00003_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: whatsapp_simulation_1280px_q75,Academic Research Use / rawir,1b97000110a5d40dd82a0b7686a648a68aef8b3ccacf89013b8f23d1ff27b5e2,66626a72b2ba7a70,363e3e1e1e1f0f1e
e20_train_00004_clean,images/train/e20_train_00004_clean.png,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,uncompressed,clean,original,self,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip,Academic Research Use / rawir,f3339e8c0f51c98f66ee1ede22f27dbc536d036107ba83dde7fb67dbac4c013e,5c5a1e1c0c8aaaca,04000f8fc7e7467b
e20_train_00004_resize_jpeg,images/train/e20_train_00004_resize_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,synthetic_compression,resize_jpeg,80,e20_train_00004_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: resize_75pct_jpeg80,Academic Research Use / rawir,01353cbbaf287b6883ccbe1b219c427237ecb545c6c67782cbcec9caf81e57a4,5c5a1e1c0c8aaaca,04000f8fc7e7667b
e20_train_00004_moderate_jpeg,images/train/e20_train_00004_moderate_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,synthetic_compression,moderate_jpeg,65,e20_train_00004_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: jpeg65_subsampling420,Academic Research Use / rawir,92963a9b1e10c17ad080bb2d4c4a9d2ab28f268116fe9b313e6eff850f650139,5c5a1e1c0c8aaaca,04000f8fc7e7467b
e20_train_00004_severe_jpeg,images/train/e20_train_00004_severe_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,synthetic_compression,severe_jpeg,40,e20_train_00004_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: jpeg40_subsampling420,Academic Research Use / rawir,fa0163ffaead75f626b9ad811bc4d364a8640152f73c8267726e4298f1c5c262,5c5a1e1c0c8aaaca,04000f8fc7e7467b
e20_train_00004_sequential_jpeg,images/train/e20_train_00004_sequential_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,synthetic_compression,sequential_jpeg,60,e20_train_00004_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: sequential_jpeg85_jpeg60,Academic Research Use / rawir,851ce70803c68810180553974c62cd052533a7577271a6b1512ca298efd1376d,5c5a1e1c0c8aaaca,04000f8fc7e7467b
e20_train_00004_resize_jpeg_resize,images/train/e20_train_00004_resize_jpeg_resize.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,synthetic_compression,resize_jpeg_resize,75,e20_train_00004_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: downscale60_jpeg75_upscale,Academic Research Use / rawir,53c1ebef25ec5700b1770dfdef3e98e2f173b565407b1e16f5440e7ee3648f02,5c5a1e1c0c8aaaca,04000f8fc7e7467b
e20_train_00004_social_media_whatsapp,images/train/e20_train_00004_social_media_whatsapp.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,synthetic_compression,social_media_whatsapp,75,e20_train_00004_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: whatsapp_simulation_1280px_q75,Academic Research Use / rawir,23cec31146521231e909e271055a895ec063c8d6fa30ffc01a18a482a9f39102,5c5a1e1c0c8aaaca,04000f8fc7e7467b
e20_train_00005_clean,images/train/e20_train_00005_clean.jpg,AI,data-is-better-together/open-image-preferences-v1,FLUX.1 [dev],Flux.1-dev,none,none,camera_original,clean,original,self,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_dev/10252.jpg,Apache 2.0,c3e71dadbd9d98dd0b6f3b2cf23ad98ca7e05944f552fe24a3ce13d0110e13ec,f878f89899b1f1e8,3c1c0c4c7c1c1804
e20_train_00005_resize_jpeg,images/train/e20_train_00005_resize_jpeg.jpg,AI,data-is-better-together/open-image-preferences-v1,FLUX.1 [dev],Flux.1-dev,none,none,synthetic_compression,resize_jpeg,80,e20_train_00005_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_dev/10252.jpg | transform: resize_75pct_jpeg80,Apache 2.0,c26bf533e771f3a47c8726357a5b92ba9f8cf6dbbc2585ef33eeff175931c2cc,f878f89899b1f1e8,3c1c0c4c7c1c1804
e20_train_00005_moderate_jpeg,images/train/e20_train_00005_moderate_jpeg.jpg,AI,data-is-better-together/open-image-preferences-v1,FLUX.1 [dev],Flux.1-dev,none,none,synthetic_compression,moderate_jpeg,65,e20_train_00005_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_dev/10252.jpg | transform: jpeg65_subsampling420,Apache 2.0,494f9a6c335f43dc1779fb84f321cdbbe5e8d8fb14c117ce765e72ea79b3472d,f878f89899b1f1e8,3c1c0c4c7c1c1804
e20_train_00005_severe_jpeg,images/train/e20_train_00005_severe_jpeg.jpg,AI,data-is-better-together/open-image-preferences-v1,FLUX.1 [dev],Flux.1-dev,none,none,synthetic_compression,severe_jpeg,40,e20_train_00005_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_dev/10252.jpg | transform: jpeg40_subsampling420,Apache 2.0,df60360ee753ec62b025023c806190e5b3ebe95e2a2ec93adf195ec901d9b6d9,f878f89899b1f1e8,3c1c0c4c7c1c1804
e20_train_00005_sequential_jpeg,images/train/e20_train_00005_sequential_jpeg.jpg,AI,data-is-better-together/open-image-preferences-v1,FLUX.1 [dev],Flux.1-dev,none,none,synthetic_compression,sequential_jpeg,60,e20_train_00005_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_dev/10252.jpg | transform: sequential_jpeg85_jpeg60,Apache 2.0,bea2487e8f62d802e827b2bcb822840637b16fa52caa0a6449c01f60d89dec71,f878f89899b1f1e8,3c1c0c4c7c1c1804
e20_train_00005_resize_jpeg_resize,images/train/e20_train_00005_resize_jpeg_resize.jpg,AI,data-is-better-together/open-image-preferences-v1,FLUX.1 [dev],Flux.1-dev,none,none,synthetic_compression,resize_jpeg_resize,75,e20_train_00005_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_dev/10252.jpg | transform: downscale60_jpeg75_upscale,Apache 2.0,da9832827a91069846f5594913e9f5286bf2d27e1aefd59f05c17dcea0fa67bb,f878f89899b1f1e8,3c1c0c4c7c1c1804
e20_train_00005_social_media_whatsapp,images/train/e20_train_00005_social_media_whatsapp.jpg,AI,data-is-better-together/open-image-preferences-v1,FLUX.1 [dev],Flux.1-dev,none,none,synthetic_compression,social_media_whatsapp,75,e20_train_00005_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_dev/10252.jpg | transform: whatsapp_simulation_1280px_q75,Apache 2.0,54ec7f401fb1112a339d7374799b8871533bdec0fefb04ab683be49dd7c6c9fe,f878f89899b1f1e8,3c1c0c4c7c1c1804
e20_train_00006_clean,images/train/e20_train_00006_clean.png,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,uncompressed,clean,original,self,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip,Academic Research Use / rawir,a68d92b9a56151492df4801776689288726c3844057f29c494d9d81c31d9a8ac,01010303c4ec1830,e0f0f1fbf614c400
e20_train_00006_resize_jpeg,images/train/e20_train_00006_resize_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,synthetic_compression,resize_jpeg,80,e20_train_00006_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: resize_75pct_jpeg80,Academic Research Use / rawir,a41d8d89f45ae69131ac03007c4680e7830421ec03a9458ce40fd628381ec35d,01010303c4ec1830,e0f0f1fbf614c400
e20_train_00006_moderate_jpeg,images/train/e20_train_00006_moderate_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,synthetic_compression,moderate_jpeg,65,e20_train_00006_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: jpeg65_subsampling420,Academic Research Use / rawir,5bcc548de65a8ac853eda45057dc15d49d66ee1a7772cefa878f1daa6b7bdb39,01010303c4ec1830,e0f0f1fbf614c400
e20_train_00006_severe_jpeg,images/train/e20_train_00006_severe_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,synthetic_compression,severe_jpeg,40,e20_train_00006_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: jpeg40_subsampling420,Academic Research Use / rawir,c750ddb4b2d32103c75710b514dc5301057cc922699f97ff470c166746078b91,01010303c4ec1830,e0f0f1fbf614c400
e20_train_00006_sequential_jpeg,images/train/e20_train_00006_sequential_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,synthetic_compression,sequential_jpeg,60,e20_train_00006_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: sequential_jpeg85_jpeg60,Academic Research Use / rawir,4daedbff0707fdece84b3f601ed89cec4f99cad07293a7e401d016c9fb182d8d,01010303c4ec1830,e0f0f1fbf614c400
e20_train_00006_resize_jpeg_resize,images/train/e20_train_00006_resize_jpeg_resize.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,synthetic_compression,resize_jpeg_resize,75,e20_train_00006_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: downscale60_jpeg75_upscale,Academic Research Use / rawir,96e62de57d1cee724736f45ac8e58df9ff644bcd44835fc5a301a828f7619051,01010303c4ec1830,e0f0f1fbf614c400
e20_train_00006_social_media_whatsapp,images/train/e20_train_00006_social_media_whatsapp.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,synthetic_compression,social_media_whatsapp,75,e20_train_00006_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: whatsapp_simulation_1280px_q75,Academic Research Use / rawir,d1726522b108fe2fbf1f097cfbf0e24baa143712f57a6a8006ed1261b09303a5,01010303c4ec1830,e0f0f1fbf614c400
e20_train_00007_clean,images/train/e20_train_00007_clean.png,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,uncompressed,clean,original,self,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip,Academic Research Use / rawir,339312a92ddddba2b9736c0fe45b1a7f3c23cd1432baa1aeb70696546af787e1,30801070b63436ad,98e08080f3ffbb3f
e20_train_00007_resize_jpeg,images/train/e20_train_00007_resize_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,synthetic_compression,resize_jpeg,80,e20_train_00007_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: resize_75pct_jpeg80,Academic Research Use / rawir,713f29f5c1ee378ca4b6b23f958e3a26dbc6db9bb42ea35274da2abfda530706,30801070b63436ad,98e08080f3ffbb3f
e20_train_00007_moderate_jpeg,images/train/e20_train_00007_moderate_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,synthetic_compression,moderate_jpeg,65,e20_train_00007_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: jpeg65_subsampling420,Academic Research Use / rawir,84281671d969e93cc2217810214d96ee87da27b85f70b7cce97314381e8749a1,30801070b63436ad,98e08080f3ffbb3f
e20_train_00007_severe_jpeg,images/train/e20_train_00007_severe_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,synthetic_compression,severe_jpeg,40,e20_train_00007_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: jpeg40_subsampling420,Academic Research Use / rawir,3d2b36df5e1b4378fa39ee058ea11aea0f6c45c8444f0140cb0dcd57fac6dc5e,30801070b63436ad,98e08080f3ffbb3f
e20_train_00007_sequential_jpeg,images/train/e20_train_00007_sequential_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,synthetic_compression,sequential_jpeg,60,e20_train_00007_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: sequential_jpeg85_jpeg60,Academic Research Use / rawir,e82f55754b5fe7a9692d4f5e0190d3851e5f51525cb4170d104f5d4215dca56d,30801070b63436ad,98e08080f3ffbb3f
e20_train_00007_resize_jpeg_resize,images/train/e20_train_00007_resize_jpeg_resize.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,synthetic_compression,resize_jpeg_resize,75,e20_train_00007_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: downscale60_jpeg75_upscale,Academic Research Use / rawir,acd26fc8fd30d3c97dd7a5f6223a2abb89210633f6ea3116ee5171045f2bd141,30801070b63436ad,98e08080f3ffbb3f
e20_train_00007_social_media_whatsapp,images/train/e20_train_00007_social_media_whatsapp.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Apple iPhone,iPhone X,synthetic_compression,social_media_whatsapp,75,e20_train_00007_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: whatsapp_simulation_1280px_q75,Academic Research Use / rawir,f95be7dd387e36980983f0754c4f6f92b3f126c85086119452c2be40e2398412,30801070b63436ad,98e08080f3ffbb3f
e20_train_00008_clean,images/train/e20_train_00008_clean.jpg,AI,data-is-better-together/open-image-preferences-v1,FLUX.1 [dev],Flux.1-dev,none,none,camera_original,clean,original,self,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_dev/2099.jpg,Apache 2.0,faa63e72012f0507fb7151ab7ee6709955a76f280fadc692f0b4c6e2b5e465f2,696933b3cbccd092,3c3cc9d9ffff0000
e20_train_00008_resize_jpeg,images/train/e20_train_00008_resize_jpeg.jpg,AI,data-is-better-together/open-image-preferences-v1,FLUX.1 [dev],Flux.1-dev,none,none,synthetic_compression,resize_jpeg,80,e20_train_00008_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_dev/2099.jpg | transform: resize_75pct_jpeg80,Apache 2.0,122065bbafc8fa95975c11f854c62b698b3cac052e49e12316a148eaf878c799,696933b3cbccd092,3c3cc9d9ffff0000
e20_train_00008_moderate_jpeg,images/train/e20_train_00008_moderate_jpeg.jpg,AI,data-is-better-together/open-image-preferences-v1,FLUX.1 [dev],Flux.1-dev,none,none,synthetic_compression,moderate_jpeg,65,e20_train_00008_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_dev/2099.jpg | transform: jpeg65_subsampling420,Apache 2.0,bc51b9bda50f9ed4432a88b0d075e29ea6f8f684fdd884b759277ff5f4eaf542,696933b3cbccd092,3c3cc9d9ffff0000
e20_train_00008_severe_jpeg,images/train/e20_train_00008_severe_jpeg.jpg,AI,data-is-better-together/open-image-preferences-v1,FLUX.1 [dev],Flux.1-dev,none,none,synthetic_compression,severe_jpeg,40,e20_train_00008_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_dev/2099.jpg | transform: jpeg40_subsampling420,Apache 2.0,2d55d5454c0298e3e0e15f9d199b21fd36e2454ee95d508f0e7f288183022916,696933b3cbccd092,3c3cc9d9ffff0000
e20_train_00008_sequential_jpeg,images/train/e20_train_00008_sequential_jpeg.jpg,AI,data-is-better-together/open-image-preferences-v1,FLUX.1 [dev],Flux.1-dev,none,none,synthetic_compression,sequential_jpeg,60,e20_train_00008_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_dev/2099.jpg | transform: sequential_jpeg85_jpeg60,Apache 2.0,1c1ef71f34f50e2d03269e9281ad0f105d2835a121b69e856d639b5714c27863,696933b3cbccd092,3c3cc9d9ffff0000
