filename,ground_truth,group_label,prob_e6c,prob_e15,width,height,aspect_ratio,file_size,format,color_mode,est_jpeg_q,has_exif,has_icc,laplacian_var,edge_density,blockiness,hf_energy,entropy,mean_r,mean_g,mean_b,std_lum
WhatsApp Image 2026-09-17 at 4.13.17 PM.jpeg,AI,AI_FN,0.00014770030975341797,0.012725830078125,720,1280,1.7777777777777777,61411,JPEG,RGB,75,False,False,135.85869447024194,0.02010959201388889,1.5082293547911378,0.005905788485091611,6.5781939218861485,50.64999565972222,41.403430989583335,30.400965711805554,44.99394373918353
WhatsApp Image 2026-09-17 at 4.13.18 PM (1).jpeg,AI,AI_TP,0.6787109375,0.796875,1042,1280,1.2284069097888675,148495,JPEG,RGB,75,False,False,67.97469583885028,0.031692358445297504,1.299733381570431,0.0003279566296751709,7.6280643828029,117.13680497240883,108.33415681981766,106.25194337811901,56.83037582348199
WhatsApp Image 2026-09-17 at 4.13.18 PM (2).jpeg,AI,AI_TP,0.1646728515625,0.5634765625,1280,960,0.75,100718,JPEG,RGB,75,False,False,94.08728189213012,0.022840983072916668,1.3705757633064422,0.0005368491433183071,7.384332505466574,135.40533121744792,147.551103515625,155.7189892578125,67.69144450699072
WhatsApp Image 2026-09-17 at 4.13.18 PM (3).jpeg,AI,AI_TP,0.277587890625,0.83544921875,960,1280,1.3333333333333333,208638,JPEG,RGB,75,False,False,491.0750682576074,0.11251302083333334,1.2319469007768742,0.0031600125272250004,7.315198963798503,118.5117236328125,116.50764241536459,114.40585205078125,61.93974934832176
WhatsApp Image 2026-09-17 at 4.13.18 PM (4).jpeg,AI,AI_TP,0.056121826171875,0.61083984375,720,1280,1.7777777777777777,116790,JPEG,RGB,75,False,False,608.8540512226199,0.07547200520833333,1.2181761795103103,0.004381740635113092,7.652261898467964,143.47976888020833,129.17013888888889,118.61650933159723,56.31411196930508
WhatsApp Image 2026-09-17 at 4.13.18 PM (5).jpeg,AI,AI_TP,0.92431640625,0.98291015625,960,1280,1.3333333333333333,159549,JPEG,RGB,75,False,False,198.84515278858345,0.03421956380208333,1.322678007710575,0.00136191586126721,7.345692975131495,108.44413655598959,105.69645751953125,101.95293538411458,63.02614633278494
WhatsApp Image 2026-09-17 at 4.13.18 PM (6).jpeg,AI,AI_TP,0.61865234375,0.92822265625,720,1280,1.7777777777777777,211164,JPEG,RGB,75,False,False,3451.949585413785,0.17728081597222223,1.0767183253421115,0.031162597417174847,7.653652996233266,96.72266276041667,88.56308268229166,91.41384440104167,70.44489282822668
WhatsApp Image 2026-09-17 at 4.13.18 PM.jpeg,AI,AI_TP,0.476318359375,0.720703125,960,1280,1.3333333333333333,148985,JPEG,RGB,75,False,False,261.5017870659723,0.08596516927083334,1.2387777095188695,0.001691137747222374,7.914008428176874,147.81607014973957,115.715078125,96.72417236328126,70.03492704406091
WhatsApp Image 2026-09-17 at 4.28.11 PM (1).jpeg,AI,AI_TP,0.5712890625,0.64794921875,977,1280,1.3101330603889458,132345,JPEG,RGB,75,False,False,107.82014490567018,0.027938683469805527,1.3549895210559764,0.0006762938020321644,7.5292138361333665,126.80893279810645,118.27169987845446,115.0954276484135,56.40220952695244
WhatsApp Image 2026-09-17 at 4.28.11 PM (2).jpeg,AI,AI_FN,0.004772186279296875,0.1495361328125,960,1280,1.3333333333333333,113224,JPEG,RGB,75,False,False,212.3663071657757,0.048076985677083336,1.3224905116724632,0.0008068423008167829,7.322057193566648,151.85620686848958,139.883193359375,131.79865071614583,66.64806629695214
WhatsApp Image 2026-09-17 at 4.28.11 PM (3).jpeg,AI,AI_FN,0.0015974044799804688,0.0843505859375,960,1280,1.3333333333333333,158520,JPEG,RGB,75,False,False,266.33544695249935,0.06498046875,1.2411436640135083,0.001648934231060248,7.579737373032602,126.10366292317708,120.15297444661458,109.04284586588541,74.77296768710306
WhatsApp Image 2026-09-17 at 4.28.11 PM (4).jpeg,AI,AI_FN,0.001995086669921875,0.055938720703125,960,1280,1.3333333333333333,61487,JPEG,RGB,75,False,False,25.356056052247684,0.0036018880208333335,2.034627062222276,9.868957805279848e-05,6.168785055764599,175.893291015625,176.33648600260418,173.91989095052082,21.239369909437062
WhatsApp Image 2026-09-17 at 4.28.11 PM (5).jpeg,AI,AI_FN,0.08447265625,0.429443359375,959,1280,1.3347236704900938,104846,JPEG,RGB,75,False,False,100.32698132240186,0.01712395724713243,1.461809092179056,0.0005725075024418098,7.790444702343852,129.8417769160584,131.12044365875911,141.922997588634,65.65966884494277
WhatsApp Image 2026-09-17 at 4.28.11 PM (6).jpeg,AI,AI_TP,0.32373046875,0.56884765625,960,1280,1.3333333333333333,129728,JPEG,RGB,75,False,False,239.38213707555067,0.035104166666666665,1.2923412645032348,0.0008498270875143216,7.51004509212893,172.41488850911458,161.6925439453125,153.38091552734375,55.49825532529258
WhatsApp Image 2026-09-17 at 4.28.11 PM (7).jpeg,AI,AI_FN,0.0060272216796875,0.07354736328125,960,1280,1.3333333333333333,277443,JPEG,RGB,75,False,False,1389.3518967928876,0.18016764322916667,1.1455444673477442,0.007036900866791559,7.775040072862428,148.2676513671875,128.30059000651042,99.62863118489584,58.13361941184358
WhatsApp Image 2026-09-17 at 4.28.11 PM.jpeg,AI,AI_FN,0.014556884765625,0.412109375,960,1280,1.3333333333333333,142505,JPEG,RGB,75,False,False,263.018638895511,0.04216064453125,1.3180097017276098,0.0013008792642716788,7.35782458515726,151.65650227864583,129.19227783203124,101.07951334635416,52.67259001504935
WhatsApp Image 2026-09-17 at 4.31.09 PM.jpeg,AI,AI_FN,0.10821533203125,0.3984375,904,1280,1.415929203539823,118359,JPEG,RGB,75,False,False,94.62812023711341,0.03138481747787611,1.3744783162065746,0.0007011217000268556,7.562249610073754,122.22923637997788,108.76961162195796,103.92379874170354,65.64233153120504
WhatsApp Image 2026-09-17 at 4.37.12 PM (1).jpeg,AI,AI_FN,0.0022869110107421875,0.1544189453125,960,1280,1.3333333333333333,108054,JPEG,RGB,75,False,False,147.3900169896278,0.020819498697916668,1.4408644174455705,0.0008805390650448111,7.265240490821598,116.91808837890625,120.49527750651042,130.1913338216146,78.18738776852604
WhatsApp Image 2026-09-17 at 4.37.12 PM (2).jpeg,AI,AI_TP,0.372314453125,0.849609375,960,1280,1.3333333333333333,206715,JPEG,RGB,75,False,False,688.962594575468,0.08557861328125,1.2228515028710152,0.0027315919481039216,7.344640833184154,153.66501220703125,145.9573486328125,134.270224609375,69.40912741405381
WhatsApp Image 2026-09-17 at 4.37.12 PM (3).jpeg,AI,AI_FN,0.001972198486328125,0.1658935546875,630,1280,2.0317460317460316,54576,JPEG,RGB,75,False,False,150.6933794622927,0.014657738095238095,1.273429796277004,0.0011483707731642409,7.0264806206341515,115.63066220238095,109.19388268849207,109.3908308531746,90.36850744186964
WhatsApp Image 2026-09-17 at 4.37.12 PM.jpeg,AI,AI_FN,0.0006613731384277344,0.100341796875,720,1280,1.7777777777777777,19385,JPEG,RGB,75,False,False,6.356961604901302,0.0014420572916666666,3.817270105334525,3.0759049307406026e-05,6.146535756938495,174.40140516493057,166.9169118923611,160.53286892361112,18.207028562015534
WhatsApp Image 2026-09-17 at 4.39.57 PM (1).jpeg,AI,AI_TP,0.87158203125,0.92626953125,960,1280,1.3333333333333333,255453,JPEG,RGB,75,False,False,675.0503565429688,0.15767903645833334,1.118187239958579,0.0026003231635245323,7.745812653995349,146.34239095052084,147.32019449869793,126.28761800130208,55.26926923116534
WhatsApp Image 2026-09-17 at 4.39.57 PM.jpeg,AI,AI_FN,0.03912353515625,0.249267578125,720,1280,1.7777777777777777,73573,JPEG,RGB,75,False,False,204.29817205104004,0.03162434895833333,1.3190931760555964,0.0014375492161722728,7.759221852455438,143.86552734375,131.9075347222222,125.37059461805555,69.63589781555945
WhatsApp Image 2026-09-17 at 3.38.18 PM (1).jpeg,Real,REAL_FP,0.53662109375,0.791015625,648,1280,1.9753086419753085,209411,JPEG,RGB,75,False,False,2190.8798717734253,0.2208791473765432,1.0688431357186943,0.01278739933212744,7.713288759519485,160.79943938078705,162.4109145929784,138.41875241126544,59.6809751103923
WhatsApp Image 2026-09-17 at 3.38.18 PM (2).jpeg,Real,REAL_TN,0.0244293212890625,0.1885986328125,720,1280,1.7777777777777777,70396,JPEG,RGB,75,False,False,104.36124722221751,0.022750651041666667,1.389523431867619,0.0011133574807640162,7.74670603899281,120.34781901041667,114.79999565972223,107.7757888454861,69.94378431027627
WhatsApp Image 2026-09-17 at 3.38.18 PM.jpeg,Real,REAL_TN,5.066394805908203e-06,0.0016164779663085938,582,776,1.3333333333333333,54051,JPEG,RGB,75,False,False,841.239153068479,0.03571270414851029,1.2654087044145546,0.0030219532695954,7.209078128629178,119.96939100860878,126.81282991462075,136.12288323236618,72.93553200778877
WhatsApp Image 2026-09-17 at 3.38.19 PM (1).jpeg,Real,REAL_TN,0.046630859375,0.2073974609375,960,1280,1.3333333333333333,285178,JPEG,RGB,75,False,False,1855.4245941830152,0.19523763020833335,1.116603388336863,0.006894736172280481,7.85074374380344,163.41014973958335,142.90060872395833,111.27104329427084,62.863199723817424
WhatsApp Image 2026-09-17 at 3.38.19 PM (2).jpeg,Real,REAL_TN,0.00937652587890625,0.1240234375,778,1038,1.3341902313624678,68841,JPEG,RGB,75,False,False,84.0664650230804,0.016314496436195768,1.4498634271044337,0.0005547353786363048,7.772853322480714,121.80631256470076,124.75289388828625,130.7354797885988,69.77386143902837
WhatsApp Image 2026-09-17 at 3.38.19 PM.jpeg,Real,REAL_TN,0.0002199411392211914,0.018798828125,384,780,2.03125,21144,JPEG,RGB,75,False,False,440.15269980004865,0.015070779914529915,1.0040250464846443,0.0019358292111645659,6.391351881800581,145.39275841346154,143.69746928418803,145.1499232104701,90.04775350997744
WhatsApp Image 2026-09-17 at 3.38.21 PM (1).jpeg,Real,REAL_TN,0.0059814453125,0.1529541015625,960,1280,1.3333333333333333,177964,JPEG,RGB,75,False,False,537.1525544535212,0.07675537109375,1.2324332835163663,0.0018856861110906557,7.3491533192514416,159.7613777669271,157.92886311848957,149.44445882161457,64.54238968428551
WhatsApp Image 2026-09-17 at 3.38.21 PM (2).jpeg,Real,REAL_TN,0.054901123046875,0.438232421875,904,1280,1.415929203539823,93726,JPEG,RGB,75,False,False,50.63009699393741,0.018719752488938052,1.479406953739336,0.0002601355758564253,7.341529771321201,150.26800677544247,142.70707100387168,139.42784585868364,47.924805329937044
WhatsApp Image 2026-09-17 at 3.38.21 PM.jpeg,Real,REAL_TN,0.0053863525390625,0.12939453125,960,1280,1.3333333333333333,152806,JPEG,RGB,75,False,False,282.3659671887054,0.05951741536458333,1.2732932856891823,0.0018054215793891209,7.60687442066347,122.35193440755208,121.77704427083333,113.55004801432291,72.41997646581862
WhatsApp Image 2026-09-17 at 3.38.22 PM (1).jpeg,Real,REAL_FP,0.331298828125,0.57763671875,978,1280,1.30879345603272,127350,JPEG,RGB,75,False,False,92.7813206912486,0.026702294222903884,1.378148457286864,0.0005297134342390987,7.5100073629192625,130.148132349182,125.09314289366053,125.1603863113497,53.461938055291014
WhatsApp Image 2026-09-17 at 3.38.22 PM (2).jpeg,Real,REAL_TN,0.00011146068572998047,0.007549285888671875,960,1280,1.3333333333333333,88763,JPEG,RGB,75,False,False,131.07834228285088,0.029169921875,1.3919421905590164,0.0004356101828992473,7.214676249730299,163.61830240885416,155.34347249348957,144.071884765625,61.65342409643751
WhatsApp Image 2026-09-17 at 3.38.22 PM (3).jpeg,Real,REAL_TN,0.181884765625,0.451171875,960,1280,1.3333333333333333,121688,JPEG,RGB,75,False,False,204.83271702810856,0.03874755859375,1.2842026442688774,0.0007083591935860307,7.435765822590154,177.36202473958335,169.84290283203126,162.68808430989583,55.88865004210379
WhatsApp Image 2026-09-17 at 3.38.22 PM.jpeg,Real,REAL_TN,0.0701904296875,0.498779296875,1042,1280,1.2284069097888675,158653,JPEG,RGB,75,False,False,93.2888111313626,0.037463261756238,1.282613251908177,0.0004137094401320717,7.558670590376787,112.53650356885797,109.12433121401152,109.89187185100768,52.37209412295369
WhatsApp Image 2026-09-17 at 3.40.06 PM (1).jpeg,Real,REAL_TN,0.031494140625,0.24169921875,1280,960,0.75,92160,JPEG,RGB,75,False,False,97.55900466473831,0.021577962239583335,1.532044032697986,0.0005828893258567353,7.314682914945271,132.54260823567708,143.2301220703125,146.4891202799479,67.39362773886319
WhatsApp Image 2026-09-17 at 3.40.06 PM.jpeg,Real,REAL_TN,0.01287078857421875,0.1678466796875,596,1280,2.1476510067114094,70399,JPEG,RGB,75,False,False,455.2609147531927,0.05848888422818792,1.2580356742123318,0.005431105166344598,5.8847055361272185,89.70219693791947,71.4722079488255,58.85513711199665,80.09137655513427
WhatsApp Image 2026-09-17 at 3.44.10 PM (1).jpeg,Real,REAL_TN,0.01395416259765625,0.49560546875,960,1280,1.3333333333333333,114383,JPEG,RGB,75,False,False,80.83900087341667,0.017666015625,1.522925533847255,0.0003483445348459598,7.072432118646838,174.79128580729167,161.7373779296875,133.22776041666665,41.171484352375856
WhatsApp Image 2026-09-17 at 3.44.10 PM (2).jpeg,Real,REAL_TN,0.003795623779296875,0.051849365234375,960,1280,1.3333333333333333,69023,JPEG,RGB,75,False,False,42.06992253173126,0.008624674479166667,1.7622520234424377,0.00015996965460759042,6.60902442184691,169.0247900390625,166.17527994791666,154.61072998046876,28.56146942232458
WhatsApp Image 2026-09-17 at 3.44.10 PM (3).jpeg,Real,REAL_FP,0.046722412109375,0.5068359375,960,1280,1.3333333333333333,189621,JPEG,RGB,75,False,False,374.80140024216905,0.05881103515625,1.3283123159005745,0.0021617606345645845,7.2389354524471035,126.5517333984375,125.09209147135417,114.25316813151042,53.21300944243577
WhatsApp Image 2026-09-17 at 3.44.10 PM (4).jpeg,Real,REAL_FP,0.046112060546875,0.75439453125,960,1280,1.3333333333333333,155127,JPEG,RGB,75,False,False,220.2230377072487,0.030956217447916667,1.3532198775299942,0.0014507368286483368,7.479133658489957,115.61027587890625,114.29313802083334,104.60000325520834,58.870931908604604
WhatsApp Image 2026-09-17 at 3.44.10 PM (7).jpeg,Real,REAL_TN,0.0004973411560058594,0.026763916015625,720,1280,1.7777777777777777,56965,JPEG,RGB,75,False,False,90.87460103124926,0.02298828125,1.5042691764314244,0.0017163251321044208,6.806672884245086,87.54824110243055,82.02953667534722,80.64046115451389,36.539867332412285
WhatsApp Image 2026-09-17 at 3.44.11 PM (1).jpeg,Real,REAL_FP,0.044189453125,0.62841796875,720,1280,1.7777777777777777,203611,JPEG,RGB,75,False,False,3505.4619587642514,0.17212673611111112,1.0876093568575902,0.038257852186274824,7.577826600522926,85.518076171875,83.03344943576388,85.01183702256944,66.67624626372734
WhatsApp Image 2026-09-17 at 3.44.11 PM (10).jpeg,Real,REAL_FP,0.31689453125,0.67822265625,1280,720,0.5625,80817,JPEG,RGB,75,False,False,70.14515065374374,0.01376736111111111,1.5214913390184899,0.0011730398152653679,7.646536598100292,101.87791558159722,115.61838758680555,127.22195638020834,59.43227754799923
WhatsApp Image 2026-09-17 at 3.44.11 PM (11).jpeg,Real,REAL_FP,0.06243896484375,0.5126953125,720,1280,1.7777777777777777,90329,JPEG,RGB,75,False,False,191.54468855793212,0.024288194444444446,1.3463999121015977,0.0015759319365560261,7.723917750598327,140.911171875,117.77497612847222,98.65432400173611,56.91460448702972
WhatsApp Image 2026-09-17 at 3.44.11 PM (12).jpeg,Real,REAL_FP,0.414306640625,0.77001953125,591,1280,2.1658206429780034,75620,JPEG,RGB,75,False,False,314.9592070271298,0.043530562605752963,1.1708699548245136,0.004627438552520184,6.81161039193154,112.32699608714044,88.15889118020304,56.54038176818951,63.18660196019701
WhatsApp Image 2026-09-17 at 3.44.11 PM (13).jpeg,Real,REAL_FP,0.348388671875,0.662109375,720,1280,1.7777777777777777,74684,JPEG,RGB,75,False,False,103.4355321911282,0.020938585069444446,1.3413625663066924,0.0009508527593128843,7.718642301536905,146.66283962673612,129.389677734375,118.44494032118055,59.02438802520079
WhatsApp Image 2026-09-17 at 3.44.11 PM (14).jpeg,Real,REAL_TN,0.1500244140625,0.478759765625,591,1280,2.1658206429780034,60300,JPEG,RGB,75,False,False,92.1814459397634,0.0235392872250423,1.245183146340497,0.0015001749891909646,7.074513109269937,113.44161114636209,102.07418173646361,91.8839255499154,76.93406150568907
WhatsApp Image 2026-09-17 at 3.44.11 PM (15).jpeg,Real,REAL_FP,0.1646728515625,0.5419921875,591,1280,2.1658206429780034,128598,JPEG,RGB,75,False,False,473.6624456618043,0.14047430203045685,1.1689898945613213,0.003290679541478302,7.7067374222302405,171.72411960659898,162.87975491751268,116.0952054251269,57.98783300414765
WhatsApp Image 2026-09-17 at 3.44.11 PM (2).jpeg,Real,REAL_TN,0.00011682510375976562,0.0079345703125,720,1280,1.7777777777777777,42407,JPEG,RGB,75,False,False,53.679971568467884,0.008572048611111112,1.758859228603212,0.002537157246958405,6.249679360411874,56.25277669270833,44.93034505208333,37.00609157986111,47.50772388939936
WhatsApp Image 2026-09-17 at 3.44.11 PM (3).jpeg,Real,REAL_FP,0.51318359375,0.810546875,720,1280,1.7777777777777777,121653,JPEG,RGB,75,False,False,436.1635625686457,0.06430555555555556,1.248024486574561,0.007257366475447252,7.343353820832233,90.40026258680555,72.70145724826389,107.40930772569445,42.40081314245454
WhatsApp Image 2026-09-17 at 3.44.11 PM (4).jpeg,Real,REAL_TN,4.172325134277344e-06,0.0017070770263671875,720,1280,1.7777777777777777,60459,JPEG,RGB,75,False,False,77.15196831491258,0.027896050347222222,1.373847883689261,0.004635202820633088,6.25502075617517,35.406549479166664,34.37091254340278,30.875207248263887,42.623460554615754
WhatsApp Image 2026-09-17 at 3.44.11 PM (5).jpeg,Real,REAL_FP,0.1729736328125,0.853515625,960,1280,1.3333333333333333,215367,JPEG,RGB,75,False,False,1447.8237283603987,0.12725179036458334,1.1612121848501697,0.007371470687384315,7.595578817509471,115.8024755859375,131.25491536458333,137.12602701822917,51.39874705459493
WhatsApp Image 2026-09-17 at 3.44.11 PM (7).jpeg,Real,REAL_TN,0.007404327392578125,0.1048583984375,960,1280,1.3333333333333333,109624,JPEG,RGB,75,False,False,100.5927977741003,0.025933430989583332,1.3737260122648607,0.0008413806194949547,7.413106561654368,99.46796875,80.87713948567708,80.1608251953125,63.731555782425374
WhatsApp Image 2026-09-17 at 3.44.11 PM (8).jpeg,Real,REAL_TN,0.046478271484375,0.1468505859375,960,1280,1.3333333333333333,184633,JPEG,RGB,75,False,False,546.9677341460228,0.09236328125,1.2242018475084704,0.002446851991499323,7.821528268907517,139.38037841796876,122.99677408854167,103.55363932291667,59.8586579390295
WhatsApp Image 2026-09-17 at 3.44.11 PM.jpeg,Real,REAL_TN,0.007289886474609375,0.156494140625,720,1280,1.7777777777777777,80990,JPEG,RGB,75,False,False,77.97087495478759,0.011778428819444445,1.4902177137725956,0.0009174073212295682,7.580332253271578,138.37055338541666,120.9354275173611,108.2893240017361,57.275377209151344
