filename,ground_truth,pred_e6c,prob_e6c,pred_e15,prob_e15,disagreement,transition_type
WhatsApp Image 2026-09-17 at 4.28.11 PM (7).jpeg,AI,Real,0.0060,Real,0.0735,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.28.11 PM.jpeg,AI,Real,0.0146,Real,0.4121,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.31.09 PM.jpeg,AI,Real,0.1082,Real,0.3984,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.37.12 PM (1).jpeg,AI,Real,0.0023,Real,0.1544,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.37.12 PM (2).jpeg,AI,Real,0.3723,AI,0.8496,True,AI -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 4.37.12 PM (3).jpeg,AI,Real,0.0020,Real,0.1659,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.37.12 PM.jpeg,AI,Real,0.0007,Real,0.1003,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.39.57 PM (1).jpeg,AI,AI,0.8716,AI,0.9263,False,AI -> E6C:AI / E15:AI
WhatsApp Image 2026-09-17 at 4.39.57 PM.jpeg,AI,Real,0.0391,Real,0.2493,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.38.18 PM (1).jpeg,Real,AI,0.5366,AI,0.7910,False,Real -> E6C:AI / E15:AI
WhatsApp Image 2026-09-17 at 3.38.18 PM (2).jpeg,Real,Real,0.0244,Real,0.1886,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.38.18 PM.jpeg,Real,Real,0.0000,Real,0.0016,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.38.19 PM (1).jpeg,Real,Real,0.0466,Real,0.2074,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.38.19 PM (2).jpeg,Real,Real,0.0094,Real,0.1240,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.38.19 PM.jpeg,Real,Real,0.0002,Real,0.0188,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.38.21 PM (1).jpeg,Real,Real,0.0060,Real,0.1530,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.38.21 PM (2).jpeg,Real,Real,0.0549,Real,0.4382,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.38.21 PM.jpeg,Real,Real,0.0054,Real,0.1294,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.38.22 PM (1).jpeg,Real,Real,0.3313,AI,0.5776,True,Real -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 3.38.22 PM (2).jpeg,Real,Real,0.0001,Real,0.0075,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.38.22 PM (3).jpeg,Real,Real,0.1819,Real,0.4512,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.38.22 PM.jpeg,Real,Real,0.0702,Real,0.4988,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.40.06 PM (1).jpeg,Real,Real,0.0315,Real,0.2417,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.40.06 PM.jpeg,Real,Real,0.0129,Real,0.1678,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.44.10 PM (1).jpeg,Real,Real,0.0140,Real,0.4956,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.44.10 PM (2).jpeg,Real,Real,0.0038,Real,0.0518,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.44.10 PM (3).jpeg,Real,Real,0.0467,AI,0.5068,True,Real -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 3.44.10 PM (4).jpeg,Real,Real,0.0461,AI,0.7544,True,Real -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 3.44.10 PM (7).jpeg,Real,Real,0.0005,Real,0.0268,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.44.11 PM (1).jpeg,Real,Real,0.0442,AI,0.6284,True,Real -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 3.44.11 PM (10).jpeg,Real,Real,0.3169,AI,0.6782,True,Real -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 3.44.11 PM (11).jpeg,Real,Real,0.0624,AI,0.5127,True,Real -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 3.44.11 PM (12).jpeg,Real,Real,0.4143,AI,0.7700,True,Real -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 3.44.11 PM (13).jpeg,Real,Real,0.3484,AI,0.6621,True,Real -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 3.44.11 PM (14).jpeg,Real,Real,0.1500,Real,0.4788,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.44.11 PM (15).jpeg,Real,Real,0.1647,AI,0.5420,True,Real -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 3.44.11 PM (2).jpeg,Real,Real,0.0001,Real,0.0079,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.44.11 PM (3).jpeg,Real,AI,0.5132,AI,0.8105,False,Real -> E6C:AI / E15:AI
WhatsApp Image 2026-09-17 at 3.44.11 PM (4).jpeg,Real,Real,0.0000,Real,0.0017,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.44.11 PM (5).jpeg,Real,Real,0.1730,AI,0.8535,True,Real -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 3.44.11 PM (7).jpeg,Real,Real,0.0074,Real,0.1049,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.44.11 PM (8).jpeg,Real,Real,0.0465,Real,0.1469,False,Real -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.44.11 PM.jpeg,Real,Real,0.0073,Real,0.1565,False,Real -> E6C:Real / E15:Real
