image_id,orig_id,full_filepath,label,source_pool,generator,device_family,variant_type,is_legacy_ai,is_modern_ai,is_smartphone_real,is_camera_real,is_compressed
e21_train_ai_0008_resize_jpeg_resize,e21_train_ai_0008,data\e21_targeted_data\images\train\e21_train_ai_0008_resize_jpeg_resize.jpg,AI,E21,OpenAI DALL-E 2,none,resize_jpeg_resize,1,0,0,0,1
e21_train_ai_0008_social_media_whatsapp,e21_train_ai_0008,data\e21_targeted_data\images\train\e21_train_ai_0008_social_media_whatsapp.jpg,AI,E21,OpenAI DALL-E 2,none,social_media_whatsapp,1,0,0,0,1
e21_train_ai_0004_clean,e21_train_ai_0004,data\e21_targeted_data\images\train\e21_train_ai_0004_clean.png,AI,E21,Stable Diffusion 2,none,clean,1,0,0,0,0
e21_train_ai_0004_resize_jpeg,e21_train_ai_0004,data\e21_targeted_data\images\train\e21_train_ai_0004_resize_jpeg.jpg,AI,E21,Stable Diffusion 2,none,resize_jpeg,1,0,0,0,1
e21_train_ai_0004_moderate_jpeg,e21_train_ai_0004,data\e21_targeted_data\images\train\e21_train_ai_0004_moderate_jpeg.jpg,AI,E21,Stable Diffusion 2,none,moderate_jpeg,1,0,0,0,1
e21_train_ai_0004_severe_jpeg,e21_train_ai_0004,data\e21_targeted_data\images\train\e21_train_ai_0004_severe_jpeg.jpg,AI,E21,Stable Diffusion 2,none,severe_jpeg,1,0,0,0,1
e21_train_ai_0004_sequential_jpeg,e21_train_ai_0004,data\e21_targeted_data\images\train\e21_train_ai_0004_sequential_jpeg.jpg,AI,E21,Stable Diffusion 2,none,sequential_jpeg,1,0,0,0,1
e21_train_ai_0004_resize_jpeg_resize,e21_train_ai_0004,data\e21_targeted_data\images\train\e21_train_ai_0004_resize_jpeg_resize.jpg,AI,E21,Stable Diffusion 2,none,resize_jpeg_resize,1,0,0,0,1
e21_train_ai_0004_social_media_whatsapp,e21_train_ai_0004,data\e21_targeted_data\images\train\e21_train_ai_0004_social_media_whatsapp.jpg,AI,E21,Stable Diffusion 2,none,social_media_whatsapp,1,0,0,0,1
e21_train_real_0005_clean,e21_train_real_0005,data\e21_targeted_data\images\train\e21_train_real_0005_clean.png,Real,E21,none,Apple iPhone,clean,0,0,1,0,0
e21_train_real_0005_resize_jpeg,e21_train_real_0005,data\e21_targeted_data\images\train\e21_train_real_0005_resize_jpeg.jpg,Real,E21,none,Apple iPhone,resize_jpeg,0,0,1,0,1
e21_train_real_0005_moderate_jpeg,e21_train_real_0005,data\e21_targeted_data\images\train\e21_train_real_0005_moderate_jpeg.jpg,Real,E21,none,Apple iPhone,moderate_jpeg,0,0,1,0,1
e21_train_real_0005_severe_jpeg,e21_train_real_0005,data\e21_targeted_data\images\train\e21_train_real_0005_severe_jpeg.jpg,Real,E21,none,Apple iPhone,severe_jpeg,0,0,1,0,1
e21_train_real_0005_sequential_jpeg,e21_train_real_0005,data\e21_targeted_data\images\train\e21_train_real_0005_sequential_jpeg.jpg,Real,E21,none,Apple iPhone,sequential_jpeg,0,0,1,0,1
e21_train_real_0005_resize_jpeg_resize,e21_train_real_0005,data\e21_targeted_data\images\train\e21_train_real_0005_resize_jpeg_resize.jpg,Real,E21,none,Apple iPhone,resize_jpeg_resize,0,0,1,0,1
e21_train_real_0005_social_media_whatsapp,e21_train_real_0005,data\e21_targeted_data\images\train\e21_train_real_0005_social_media_whatsapp.jpg,Real,E21,none,Apple iPhone,social_media_whatsapp,0,0,1,0,1
e21_train_real_0001_clean,e21_train_real_0001,data\e21_targeted_data\images\train\e21_train_real_0001_clean.png,Real,E21,none,Apple iPhone,clean,0,0,1,0,0
e21_train_real_0001_resize_jpeg,e21_train_real_0001,data\e21_targeted_data\images\train\e21_train_real_0001_resize_jpeg.jpg,Real,E21,none,Apple iPhone,resize_jpeg,0,0,1,0,1
e21_train_real_0001_moderate_jpeg,e21_train_real_0001,data\e21_targeted_data\images\train\e21_train_real_0001_moderate_jpeg.jpg,Real,E21,none,Apple iPhone,moderate_jpeg,0,0,1,0,1
e21_train_real_0001_severe_jpeg,e21_train_real_0001,data\e21_targeted_data\images\train\e21_train_real_0001_severe_jpeg.jpg,Real,E21,none,Apple iPhone,severe_jpeg,0,0,1,0,1
e21_train_real_0001_sequential_jpeg,e21_train_real_0001,data\e21_targeted_data\images\train\e21_train_real_0001_sequential_jpeg.jpg,Real,E21,none,Apple iPhone,sequential_jpeg,0,0,1,0,1
e21_train_real_0001_resize_jpeg_resize,e21_train_real_0001,data\e21_targeted_data\images\train\e21_train_real_0001_resize_jpeg_resize.jpg,Real,E21,none,Apple iPhone,resize_jpeg_resize,0,0,1,0,1
e21_train_real_0001_social_media_whatsapp,e21_train_real_0001,data\e21_targeted_data\images\train\e21_train_real_0001_social_media_whatsapp.jpg,Real,E21,none,Apple iPhone,social_media_whatsapp,0,0,1,0,1
e21_train_ai_0011_clean,e21_train_ai_0011,data\e21_targeted_data\images\train\e21_train_ai_0011_clean.png,AI,E21,Stable Diffusion 1.4,none,clean,1,0,0,0,0
e21_train_ai_0011_resize_jpeg,e21_train_ai_0011,data\e21_targeted_data\images\train\e21_train_ai_0011_resize_jpeg.jpg,AI,E21,Stable Diffusion 1.4,none,resize_jpeg,1,0,0,0,1
e21_train_ai_0011_moderate_jpeg,e21_train_ai_0011,data\e21_targeted_data\images\train\e21_train_ai_0011_moderate_jpeg.jpg,AI,E21,Stable Diffusion 1.4,none,moderate_jpeg,1,0,0,0,1
e21_train_ai_0011_severe_jpeg,e21_train_ai_0011,data\e21_targeted_data\images\train\e21_train_ai_0011_severe_jpeg.jpg,AI,E21,Stable Diffusion 1.4,none,severe_jpeg,1,0,0,0,1
e21_train_ai_0011_sequential_jpeg,e21_train_ai_0011,data\e21_targeted_data\images\train\e21_train_ai_0011_sequential_jpeg.jpg,AI,E21,Stable Diffusion 1.4,none,sequential_jpeg,1,0,0,0,1
e21_train_ai_0011_resize_jpeg_resize,e21_train_ai_0011,data\e21_targeted_data\images\train\e21_train_ai_0011_resize_jpeg_resize.jpg,AI,E21,Stable Diffusion 1.4,none,resize_jpeg_resize,1,0,0,0,1
e21_train_ai_0011_social_media_whatsapp,e21_train_ai_0011,data\e21_targeted_data\images\train\e21_train_ai_0011_social_media_whatsapp.jpg,AI,E21,Stable Diffusion 1.4,none,social_media_whatsapp,1,0,0,0,1
e21_train_real_0007_clean,e21_train_real_0007,data\e21_targeted_data\images\train\e21_train_real_0007_clean.png,Real,E21,none,Defocus / Bokeh,clean,0,0,1,0,0
e21_train_real_0007_resize_jpeg,e21_train_real_0007,data\e21_targeted_data\images\train\e21_train_real_0007_resize_jpeg.jpg,Real,E21,none,Defocus / Bokeh,resize_jpeg,0,0,1,0,1
e21_train_real_0007_moderate_jpeg,e21_train_real_0007,data\e21_targeted_data\images\train\e21_train_real_0007_moderate_jpeg.jpg,Real,E21,none,Defocus / Bokeh,moderate_jpeg,0,0,1,0,1
e21_train_real_0007_severe_jpeg,e21_train_real_0007,data\e21_targeted_data\images\train\e21_train_real_0007_severe_jpeg.jpg,Real,E21,none,Defocus / Bokeh,severe_jpeg,0,0,1,0,1
e21_train_real_0007_sequential_jpeg,e21_train_real_0007,data\e21_targeted_data\images\train\e21_train_real_0007_sequential_jpeg.jpg,Real,E21,none,Defocus / Bokeh,sequential_jpeg,0,0,1,0,1
e21_train_real_0007_resize_jpeg_resize,e21_train_real_0007,data\e21_targeted_data\images\train\e21_train_real_0007_resize_jpeg_resize.jpg,Real,E21,none,Defocus / Bokeh,resize_jpeg_resize,0,0,1,0,1
e21_train_real_0007_social_media_whatsapp,e21_train_real_0007,data\e21_targeted_data\images\train\e21_train_real_0007_social_media_whatsapp.jpg,Real,E21,none,Defocus / Bokeh,social_media_whatsapp,0,0,1,0,1
e21_train_real_0014_clean,e21_train_real_0014,data\e21_targeted_data\images\train\e21_train_real_0014_clean.png,Real,E21,none,Google Pixel,clean,0,0,1,0,0
e21_train_real_0014_resize_jpeg,e21_train_real_0014,data\e21_targeted_data\images\train\e21_train_real_0014_resize_jpeg.jpg,Real,E21,none,Google Pixel,resize_jpeg,0,0,1,0,1
e21_train_real_0014_moderate_jpeg,e21_train_real_0014,data\e21_targeted_data\images\train\e21_train_real_0014_moderate_jpeg.jpg,Real,E21,none,Google Pixel,moderate_jpeg,0,0,1,0,1
e21_train_real_0014_severe_jpeg,e21_train_real_0014,data\e21_targeted_data\images\train\e21_train_real_0014_severe_jpeg.jpg,Real,E21,none,Google Pixel,severe_jpeg,0,0,1,0,1
e21_train_real_0014_sequential_jpeg,e21_train_real_0014,data\e21_targeted_data\images\train\e21_train_real_0014_sequential_jpeg.jpg,Real,E21,none,Google Pixel,sequential_jpeg,0,0,1,0,1
e21_train_real_0014_resize_jpeg_resize,e21_train_real_0014,data\e21_targeted_data\images\train\e21_train_real_0014_resize_jpeg_resize.jpg,Real,E21,none,Google Pixel,resize_jpeg_resize,0,0,1,0,1
e21_train_real_0014_social_media_whatsapp,e21_train_real_0014,data\e21_targeted_data\images\train\e21_train_real_0014_social_media_whatsapp.jpg,Real,E21,none,Google Pixel,social_media_whatsapp,0,0,1,0,1
e21_train_real_0010_clean,e21_train_real_0010,data\e21_targeted_data\images\train\e21_train_real_0010_clean.png,Real,E21,none,Google Pixel,clean,0,0,1,0,0
e21_train_real_0010_resize_jpeg,e21_train_real_0010,data\e21_targeted_data\images\train\e21_train_real_0010_resize_jpeg.jpg,Real,E21,none,Google Pixel,resize_jpeg,0,0,1,0,1
e21_train_real_0010_moderate_jpeg,e21_train_real_0010,data\e21_targeted_data\images\train\e21_train_real_0010_moderate_jpeg.jpg,Real,E21,none,Google Pixel,moderate_jpeg,0,0,1,0,1
e21_train_real_0010_severe_jpeg,e21_train_real_0010,data\e21_targeted_data\images\train\e21_train_real_0010_severe_jpeg.jpg,Real,E21,none,Google Pixel,severe_jpeg,0,0,1,0,1
e21_train_real_0010_sequential_jpeg,e21_train_real_0010,data\e21_targeted_data\images\train\e21_train_real_0010_sequential_jpeg.jpg,Real,E21,none,Google Pixel,sequential_jpeg,0,0,1,0,1
e21_train_real_0010_resize_jpeg_resize,e21_train_real_0010,data\e21_targeted_data\images\train\e21_train_real_0010_resize_jpeg_resize.jpg,Real,E21,none,Google Pixel,resize_jpeg_resize,0,0,1,0,1
e21_train_real_0010_social_media_whatsapp,e21_train_real_0010,data\e21_targeted_data\images\train\e21_train_real_0010_social_media_whatsapp.jpg,Real,E21,none,Google Pixel,social_media_whatsapp,0,0,1,0,1
e21_train_ai_0015_clean,e21_train_ai_0015,data\e21_targeted_data\images\train\e21_train_ai_0015_clean.png,AI,E21,OpenAI DALL-E 2,none,clean,1,0,0,0,0
e21_train_ai_0015_resize_jpeg,e21_train_ai_0015,data\e21_targeted_data\images\train\e21_train_ai_0015_resize_jpeg.jpg,AI,E21,OpenAI DALL-E 2,none,resize_jpeg,1,0,0,0,1
e21_train_ai_0015_moderate_jpeg,e21_train_ai_0015,data\e21_targeted_data\images\train\e21_train_ai_0015_moderate_jpeg.jpg,AI,E21,OpenAI DALL-E 2,none,moderate_jpeg,1,0,0,0,1
e21_train_ai_0015_severe_jpeg,e21_train_ai_0015,data\e21_targeted_data\images\train\e21_train_ai_0015_severe_jpeg.jpg,AI,E21,OpenAI DALL-E 2,none,severe_jpeg,1,0,0,0,1
e21_train_ai_0015_sequential_jpeg,e21_train_ai_0015,data\e21_targeted_data\images\train\e21_train_ai_0015_sequential_jpeg.jpg,AI,E21,OpenAI DALL-E 2,none,sequential_jpeg,1,0,0,0,1
e21_train_ai_0015_resize_jpeg_resize,e21_train_ai_0015,data\e21_targeted_data\images\train\e21_train_ai_0015_resize_jpeg_resize.jpg,AI,E21,OpenAI DALL-E 2,none,resize_jpeg_resize,1,0,0,0,1
e21_train_ai_0015_social_media_whatsapp,e21_train_ai_0015,data\e21_targeted_data\images\train\e21_train_ai_0015_social_media_whatsapp.jpg,AI,E21,OpenAI DALL-E 2,none,social_media_whatsapp,1,0,0,0,1
e21_train_ai_0013_clean,e21_train_ai_0013,data\e21_targeted_data\images\train\e21_train_ai_0013_clean.png,AI,E21,Midjourney,none,clean,0,1,0,0,0
e21_train_ai_0013_resize_jpeg,e21_train_ai_0013,data\e21_targeted_data\images\train\e21_train_ai_0013_resize_jpeg.jpg,AI,E21,Midjourney,none,resize_jpeg,0,1,0,0,1
e21_train_ai_0013_moderate_jpeg,e21_train_ai_0013,data\e21_targeted_data\images\train\e21_train_ai_0013_moderate_jpeg.jpg,AI,E21,Midjourney,none,moderate_jpeg,0,1,0,0,1
e21_train_ai_0013_severe_jpeg,e21_train_ai_0013,data\e21_targeted_data\images\train\e21_train_ai_0013_severe_jpeg.jpg,AI,E21,Midjourney,none,severe_jpeg,0,1,0,0,1
e21_train_ai_0013_sequential_jpeg,e21_train_ai_0013,data\e21_targeted_data\images\train\e21_train_ai_0013_sequential_jpeg.jpg,AI,E21,Midjourney,none,sequential_jpeg,0,1,0,0,1
e21_train_ai_0013_resize_jpeg_resize,e21_train_ai_0013,data\e21_targeted_data\images\train\e21_train_ai_0013_resize_jpeg_resize.jpg,AI,E21,Midjourney,none,resize_jpeg_resize,0,1,0,0,1
e21_train_ai_0013_social_media_whatsapp,e21_train_ai_0013,data\e21_targeted_data\images\train\e21_train_ai_0013_social_media_whatsapp.jpg,AI,E21,Midjourney,none,social_media_whatsapp,0,1,0,0,1
e21_train_ai_0016_clean,e21_train_ai_0016,data\e21_targeted_data\images\train\e21_train_ai_0016_clean.png,AI,E21,Stable Diffusion 2,none,clean,1,0,0,0,0
e21_train_ai_0016_resize_jpeg,e21_train_ai_0016,data\e21_targeted_data\images\train\e21_train_ai_0016_resize_jpeg.jpg,AI,E21,Stable Diffusion 2,none,resize_jpeg,1,0,0,0,1
e21_train_ai_0016_moderate_jpeg,e21_train_ai_0016,data\e21_targeted_data\images\train\e21_train_ai_0016_moderate_jpeg.jpg,AI,E21,Stable Diffusion 2,none,moderate_jpeg,1,0,0,0,1
e21_train_ai_0016_severe_jpeg,e21_train_ai_0016,data\e21_targeted_data\images\train\e21_train_ai_0016_severe_jpeg.jpg,AI,E21,Stable Diffusion 2,none,severe_jpeg,1,0,0,0,1
e21_train_ai_0016_sequential_jpeg,e21_train_ai_0016,data\e21_targeted_data\images\train\e21_train_ai_0016_sequential_jpeg.jpg,AI,E21,Stable Diffusion 2,none,sequential_jpeg,1,0,0,0,1
e21_train_ai_0016_resize_jpeg_resize,e21_train_ai_0016,data\e21_targeted_data\images\train\e21_train_ai_0016_resize_jpeg_resize.jpg,AI,E21,Stable Diffusion 2,none,resize_jpeg_resize,1,0,0,0,1
e21_train_ai_0016_social_media_whatsapp,e21_train_ai_0016,data\e21_targeted_data\images\train\e21_train_ai_0016_social_media_whatsapp.jpg,AI,E21,Stable Diffusion 2,none,social_media_whatsapp,1,0,0,0,1
e21_train_real_0012_clean,e21_train_real_0012,data\e21_targeted_data\images\train\e21_train_real_0012_clean.png,Real,E21,none,Apple iPhone,clean,0,0,1,0,0
e21_train_real_0012_resize_jpeg,e21_train_real_0012,data\e21_targeted_data\images\train\e21_train_real_0012_resize_jpeg.jpg,Real,E21,none,Apple iPhone,resize_jpeg,0,0,1,0,1
e21_train_real_0012_moderate_jpeg,e21_train_real_0012,data\e21_targeted_data\images\train\e21_train_real_0012_moderate_jpeg.jpg,Real,E21,none,Apple iPhone,moderate_jpeg,0,0,1,0,1
e21_train_real_0012_severe_jpeg,e21_train_real_0012,data\e21_targeted_data\images\train\e21_train_real_0012_severe_jpeg.jpg,Real,E21,none,Apple iPhone,severe_jpeg,0,0,1,0,1
e21_train_real_0012_sequential_jpeg,e21_train_real_0012,data\e21_targeted_data\images\train\e21_train_real_0012_sequential_jpeg.jpg,Real,E21,none,Apple iPhone,sequential_jpeg,0,0,1,0,1
e21_train_real_0012_resize_jpeg_resize,e21_train_real_0012,data\e21_targeted_data\images\train\e21_train_real_0012_resize_jpeg_resize.jpg,Real,E21,none,Apple iPhone,resize_jpeg_resize,0,0,1,0,1
e21_train_real_0012_social_media_whatsapp,e21_train_real_0012,data\e21_targeted_data\images\train\e21_train_real_0012_social_media_whatsapp.jpg,Real,E21,none,Apple iPhone,social_media_whatsapp,0,0,1,0,1
e21_train_ai_0022_clean,e21_train_ai_0022,data\e21_targeted_data\images\train\e21_train_ai_0022_clean.png,AI,E21,Stable Diffusion 1.3,none,clean,1,0,0,0,0
e21_train_ai_0022_resize_jpeg,e21_train_ai_0022,data\e21_targeted_data\images\train\e21_train_ai_0022_resize_jpeg.jpg,AI,E21,Stable Diffusion 1.3,none,resize_jpeg,1,0,0,0,1
e21_train_ai_0022_moderate_jpeg,e21_train_ai_0022,data\e21_targeted_data\images\train\e21_train_ai_0022_moderate_jpeg.jpg,AI,E21,Stable Diffusion 1.3,none,moderate_jpeg,1,0,0,0,1
e21_train_ai_0022_severe_jpeg,e21_train_ai_0022,data\e21_targeted_data\images\train\e21_train_ai_0022_severe_jpeg.jpg,AI,E21,Stable Diffusion 1.3,none,severe_jpeg,1,0,0,0,1
e21_train_ai_0022_sequential_jpeg,e21_train_ai_0022,data\e21_targeted_data\images\train\e21_train_ai_0022_sequential_jpeg.jpg,AI,E21,Stable Diffusion 1.3,none,sequential_jpeg,1,0,0,0,1
e21_train_ai_0022_resize_jpeg_resize,e21_train_ai_0022,data\e21_targeted_data\images\train\e21_train_ai_0022_resize_jpeg_resize.jpg,AI,E21,Stable Diffusion 1.3,none,resize_jpeg_resize,1,0,0,0,1
e21_train_ai_0022_social_media_whatsapp,e21_train_ai_0022,data\e21_targeted_data\images\train\e21_train_ai_0022_social_media_whatsapp.jpg,AI,E21,Stable Diffusion 1.3,none,social_media_whatsapp,1,0,0,0,1
e21_train_real_0020_clean,e21_train_real_0020,data\e21_targeted_data\images\train\e21_train_real_0020_clean.png,Real,E21,none,Apple iPhone,clean,0,0,1,0,0
e21_train_real_0020_resize_jpeg,e21_train_real_0020,data\e21_targeted_data\images\train\e21_train_real_0020_resize_jpeg.jpg,Real,E21,none,Apple iPhone,resize_jpeg,0,0,1,0,1
e21_train_real_0020_moderate_jpeg,e21_train_real_0020,data\e21_targeted_data\images\train\e21_train_real_0020_moderate_jpeg.jpg,Real,E21,none,Apple iPhone,moderate_jpeg,0,0,1,0,1
e21_train_real_0020_severe_jpeg,e21_train_real_0020,data\e21_targeted_data\images\train\e21_train_real_0020_severe_jpeg.jpg,Real,E21,none,Apple iPhone,severe_jpeg,0,0,1,0,1
e21_train_real_0020_sequential_jpeg,e21_train_real_0020,data\e21_targeted_data\images\train\e21_train_real_0020_sequential_jpeg.jpg,Real,E21,none,Apple iPhone,sequential_jpeg,0,0,1,0,1
e21_train_real_0020_resize_jpeg_resize,e21_train_real_0020,data\e21_targeted_data\images\train\e21_train_real_0020_resize_jpeg_resize.jpg,Real,E21,none,Apple iPhone,resize_jpeg_resize,0,0,1,0,1
e21_train_real_0020_social_media_whatsapp,e21_train_real_0020,data\e21_targeted_data\images\train\e21_train_real_0020_social_media_whatsapp.jpg,Real,E21,none,Apple iPhone,social_media_whatsapp,0,0,1,0,1
e21_train_real_0021_clean,e21_train_real_0021,data\e21_targeted_data\images\train\e21_train_real_0021_clean.png,Real,E21,none,Google Pixel,clean,0,0,1,0,0
e21_train_real_0021_resize_jpeg,e21_train_real_0021,data\e21_targeted_data\images\train\e21_train_real_0021_resize_jpeg.jpg,Real,E21,none,Google Pixel,resize_jpeg,0,0,1,0,1
e21_train_real_0021_moderate_jpeg,e21_train_real_0021,data\e21_targeted_data\images\train\e21_train_real_0021_moderate_jpeg.jpg,Real,E21,none,Google Pixel,moderate_jpeg,0,0,1,0,1
e21_train_real_0021_severe_jpeg,e21_train_real_0021,data\e21_targeted_data\images\train\e21_train_real_0021_severe_jpeg.jpg,Real,E21,none,Google Pixel,severe_jpeg,0,0,1,0,1
e21_train_real_0021_sequential_jpeg,e21_train_real_0021,data\e21_targeted_data\images\train\e21_train_real_0021_sequential_jpeg.jpg,Real,E21,none,Google Pixel,sequential_jpeg,0,0,1,0,1
e21_train_real_0021_resize_jpeg_resize,e21_train_real_0021,data\e21_targeted_data\images\train\e21_train_real_0021_resize_jpeg_resize.jpg,Real,E21,none,Google Pixel,resize_jpeg_resize,0,0,1,0,1
e21_train_real_0021_social_media_whatsapp,e21_train_real_0021,data\e21_targeted_data\images\train\e21_train_real_0021_social_media_whatsapp.jpg,Real,E21,none,Google Pixel,social_media_whatsapp,0,0,1,0,1
e21_train_ai_0019_clean,e21_train_ai_0019,data\e21_targeted_data\images\train\e21_train_ai_0019_clean.png,AI,E21,Stable Diffusion 2,none,clean,1,0,0,0,0
e21_train_ai_0019_resize_jpeg,e21_train_ai_0019,data\e21_targeted_data\images\train\e21_train_ai_0019_resize_jpeg.jpg,AI,E21,Stable Diffusion 2,none,resize_jpeg,1,0,0,0,1
e21_train_ai_0019_moderate_jpeg,e21_train_ai_0019,data\e21_targeted_data\images\train\e21_train_ai_0019_moderate_jpeg.jpg,AI,E21,Stable Diffusion 2,none,moderate_jpeg,1,0,0,0,1
e21_train_ai_0019_severe_jpeg,e21_train_ai_0019,data\e21_targeted_data\images\train\e21_train_ai_0019_severe_jpeg.jpg,AI,E21,Stable Diffusion 2,none,severe_jpeg,1,0,0,0,1
e21_train_ai_0019_sequential_jpeg,e21_train_ai_0019,data\e21_targeted_data\images\train\e21_train_ai_0019_sequential_jpeg.jpg,AI,E21,Stable Diffusion 2,none,sequential_jpeg,1,0,0,0,1
e21_train_ai_0019_resize_jpeg_resize,e21_train_ai_0019,data\e21_targeted_data\images\train\e21_train_ai_0019_resize_jpeg_resize.jpg,AI,E21,Stable Diffusion 2,none,resize_jpeg_resize,1,0,0,0,1
e21_train_ai_0019_social_media_whatsapp,e21_train_ai_0019,data\e21_targeted_data\images\train\e21_train_ai_0019_social_media_whatsapp.jpg,AI,E21,Stable Diffusion 2,none,social_media_whatsapp,1,0,0,0,1
