filename,ground_truth,e6c_prob,e10b_prob,e12a_prob,e12b_prob,e6c_pred,e10b_pred,e12a_pred,e12b_pred,flip_vs_e6c,flip_vs_e10b,flip_vs_e12a
WhatsApp Image 2026-09-17 at 4.13.18 PM.jpeg,AI,0.4772,0.8685,0.9512,0.668,REAL,AI,AI,AI,True,False,False
WhatsApp Image 2026-09-17 at 4.28.11 PM (1).jpeg,AI,0.5728,0.8489,0.8862,0.9229,AI,AI,AI,AI,False,False,False
WhatsApp Image 2026-09-17 at 4.28.11 PM (2).jpeg,AI,0.0047,0.0107,0.0022,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.28.11 PM (3).jpeg,AI,0.0016,0.0,0.0,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.28.11 PM (4).jpeg,AI,0.0021,0.1578,0.0862,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.28.11 PM (5).jpeg,AI,0.0837,0.3471,0.2039,0.0539,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.28.11 PM (6).jpeg,AI,0.3284,0.5154,0.2325,0.5986,REAL,AI,REAL,AI,True,False,True
WhatsApp Image 2026-09-17 at 4.28.11 PM (7).jpeg,AI,0.006,0.0018,0.0001,0.0001,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.28.11 PM.jpeg,AI,0.0149,0.0552,0.0254,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.31.09 PM.jpeg,AI,0.1063,0.3057,0.1289,0.062,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.37.12 PM (1).jpeg,AI,0.0022,0.3606,0.2747,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.37.12 PM (2).jpeg,AI,0.3809,0.1781,0.055,0.1182,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.37.12 PM (3).jpeg,AI,0.0019,0.0029,0.0016,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.37.12 PM.jpeg,AI,0.0007,0.1172,0.0461,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.39.57 PM (1).jpeg,AI,0.8717,0.8463,0.875,0.9985,AI,AI,AI,AI,False,False,False
WhatsApp Image 2026-09-17 at 4.39.57 PM.jpeg,AI,0.04,0.2278,0.3665,0.0072,REAL,REAL,REAL,REAL,False,False,False
