benchmark,image_id,label,e20_vs_e24_transition,e21_vs_e24_transition,generator,device_family
E14 Clean External,real_raise_202_r1a4651edt,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_dalle2_003_r026b5360t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,dalle2,Synthbuster
E14 Clean External,ai_sb_supp_dalle2_002_r002fc3e2t,AI,E20_correct__E24_correct,E21_correct__E24_correct,dalle2,Synthbuster
E14 Clean External,ai_sb_firefly_075_r0f5beb66t,AI,E20_wrong__E24_wrong,E21_wrong__E24_wrong,firefly,Synthbuster
E14 Clean External,ai_sb_midjourney-v5_146_r1ad2de34t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,midjourney-v5,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-2_231_r159d3942t,AI,E20_wrong__E24_wrong,E21_wrong__E24_wrong,stable-diffusion-2,Synthbuster
E14 Clean External,real_raise_075_r09851aa4t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_110_r0ea0825ft,Real,E20_wrong__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_glide_109_r138ad247t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,glide,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-1-4_192_r0b7b1156t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-4,Synthbuster
E14 Clean External,real_raise_230_r1d00d8ect,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_dalle3_056_r1ad2de34t,AI,E20_correct__E24_correct,E21_correct__E24_correct,dalle3,Synthbuster
E14 Clean External,real_raise_072_r09445479t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-3_179_r1d9a31fct,AI,E20_wrong__E24_wrong,E21_wrong__E24_wrong,stable-diffusion-1-3,Synthbuster
E14 Clean External,ai_sb_dalle2_010_r09a60f63t,AI,E20_correct__E24_correct,E21_correct__E24_correct,dalle2,Synthbuster
E14 Clean External,real_raise_supp_050_r1a8ee526t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,real_raise_022_r02f1ba48t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_glide_092_r0150031ft,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,glide,Synthbuster
E14 Clean External,real_raise_158_r14289905t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_210_r1ae12b3ft,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-4_208_r1c9fdcf4t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-4,Synthbuster
E14 Clean External,ai_sb_glide_097_r06743f8ft,AI,E20_correct__E24_correct,E21_correct__E24_correct,glide,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-1-3_151_r000da54ft,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,stable-diffusion-1-3,Synthbuster
E14 Clean External,ai_sb_firefly_070_r09a60f63t,AI,E20_correct__E24_correct,E21_correct__E24_correct,firefly,Synthbuster
E14 Clean External,real_raise_189_r187df69ft,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-2_234_r1900f7c7t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-2,Synthbuster
E14 Clean External,ai_sb_firefly_088_r1c9fdcf4t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,firefly,Synthbuster
E14 Clean External,real_raise_180_r173ee7e8t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_supp_022_r0b3220e1t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-2_228_r1297fd0bt,AI,E20_correct__E24_correct,E21_correct__E24_correct,stable-diffusion-2,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-2_219_r08996953t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-2,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-1-3_171_r159d3942t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-3,Synthbuster
E14 Clean External,real_raise_102_r0cfedd72t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-4_193_r0cd4ffb0t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-4,Synthbuster
E14 Clean External,real_raise_170_r15f16465t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_glide_118_r1c9fdcf4t,AI,E20_correct__E24_correct,E21_correct__E24_correct,glide,Synthbuster
E14 Clean External,real_raise_097_r0c1f588dt,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_121_r0faffef3t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_midjourney-v5_138_r1297fd0bt,AI,E20_correct__E24_wrong,E21_correct__E24_wrong,midjourney-v5,Synthbuster
E14 Clean External,real_raise_026_r0372042dt,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_midjourney-v5_133_r0cd4ffb0t,AI,E20_correct__E24_correct,E21_correct__E24_correct,midjourney-v5,Synthbuster
E14 Clean External,real_raise_185_r180bcbd7t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_080_r0a19cb85t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-4_187_r06743f8ft,AI,E20_correct__E24_correct,E21_correct__E24_correct,stable-diffusion-1-4,Synthbuster
E14 Clean External,real_raise_123_r0fdfc4f0t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_glide_107_r116825e2t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,glide,Synthbuster
E14 Clean External,real_raise_045_r05bf2f53t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_dalle3_053_r17fe8532t,AI,E20_correct__E24_correct,E21_correct__E24_correct,dalle3,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-2_213_r026b5360t,AI,E20_correct__E24_correct,E21_correct__E24_correct,stable-diffusion-2,Synthbuster
E14 Clean External,real_raise_018_r0279b17bt,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_055_r0703243bt,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_firefly_079_r138ad247t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,firefly,Synthbuster
E14 Clean External,ai_sb_firefly_090_r1e9082f9t,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,firefly,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-2_225_r0f5beb66t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-2,Synthbuster
E14 Clean External,ai_sb_supp_stable-diffusion-1-4_020_r002fc3e2t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-4,Synthbuster
E14 Clean External,real_raise_206_r1a8fe570t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_058_r079d086et,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_glide_101_r0a9384b1t,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,glide,Synthbuster
E14 Clean External,real_raise_supp_041_r15efd876t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_supp_009_r04395e54t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,real_raise_152_r13934dc7t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,real_raise_supp_028_r0f25b326t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,real_raise_supp_014_r070a874ct,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_supp_006_r02d732f8t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_dalle2_022_r169c7350t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,dalle2,Synthbuster
E14 Clean External,real_raise_supp_025_r0cea5432t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,real_raise_242_r1e8acc5ct,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_midjourney-v5_126_r056f233bt,AI,E20_correct__E24_correct,E21_correct__E24_correct,midjourney-v5,Synthbuster
E14 Clean External,real_raise_035_r047aa954t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_dalle2_012_r0b7b1156t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,dalle2,Synthbuster
E14 Clean External,real_raise_184_r17f60607t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_127_r1070b804t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-3_176_r1ad2de34t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-3,Synthbuster
E14 Clean External,ai_sb_firefly_076_r102b4aa4t,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,firefly,Synthbuster
E14 Clean External,ai_sb_supp_stable-diffusion-2_024_r00444b95t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-2,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-2_215_r045be2act,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-2,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-1-3_177_r1bdb6385t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-3,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-2_212_r0150031ft,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-2,Synthbuster
E14 Clean External,real_raise_supp_039_r14902ba4t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_070_r08d2b4dat,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_dalle2_001_r000da54ft,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,dalle2,Synthbuster
E14 Clean External,real_raise_114_r0f137652t,Real,E20_wrong__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_supp_midjourney-v5_013_r001d260dt,AI,E20_correct__E24_correct,E21_correct__E24_correct,midjourney-v5,Synthbuster
E14 Clean External,real_raise_supp_001_r001d260dt,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_212_r1b1c1019t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-3_170_r145221d9t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-3,Synthbuster
E14 Clean External,ai_sb_glide_094_r0372042dt,AI,E20_wrong__E24_correct,E21_correct__E24_correct,glide,Synthbuster
E14 Clean External,real_raise_218_r1be2a3d5t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,real_raise_supp_034_r1267fa5bt,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_120_r0f98115dt,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_173_r1645a09ct,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_002_r005f3e70t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_221_r1c23e440t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_167_r15919202t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_111_r0eb8dfb5t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_028_r03aa5df1t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-2_214_r0372042dt,AI,E20_correct__E24_correct,E21_correct__E24_correct,stable-diffusion-2,Synthbuster
E14 Clean External,real_raise_supp_060_r1f06581bt,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_030_r03f70ccdt,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-3_162_r0b7b1156t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-3,Synthbuster
E14 Clean External,real_raise_171_r1618da9dt,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_238_r1de76a54t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_197_r19b49f2ct,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_078_r09d7cd4et,Real,E20_wrong__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,real_raise_085_r0aaa70c3t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,real_raise_216_r1bc3dd23t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_firefly_081_r159d3942t,AI,E20_wrong__E24_wrong,E21_wrong__E24_wrong,firefly,Synthbuster
E14 Clean External,real_raise_196_r1986e42bt,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_126_r102b4aa4t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-4_203_r17fe8532t,AI,E20_correct__E24_correct,E21_correct__E24_correct,stable-diffusion-1-4,Synthbuster
E14 Clean External,real_raise_117_r0f4ece9bt,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-2_236_r1ad2de34t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-2,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-1-3_153_r026b5360t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-3,Synthbuster
E14 Clean External,ai_sb_midjourney-v5_142_r169c7350t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,midjourney-v5,Synthbuster
E14 Clean External,ai_sb_dalle3_057_r1bdb6385t,AI,E20_correct__E24_correct,E21_correct__E24_correct,dalle3,Synthbuster
E14 Clean External,real_raise_233_r1d679eaet,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_249_r1f3e6681t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-2_240_r1e9082f9t,AI,E20_correct__E24_correct,E21_correct__E24_correct,stable-diffusion-2,Synthbuster
E14 Clean External,real_raise_181_r17754c77t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,real_raise_supp_019_r098cf7aet,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_156_r140f3432t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_dalle3_051_r159d3942t,AI,E20_correct__E24_correct,E21_correct__E24_correct,dalle3,Synthbuster
E14 Clean External,real_raise_159_r145215fft,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_dalle2_002_r0150031ft,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,dalle2,Synthbuster
E14 Clean External,real_raise_038_r04cfa379t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-3_157_r06743f8ft,AI,E20_correct__E24_correct,E21_correct__E24_correct,stable-diffusion-1-3,Synthbuster
E14 Clean External,ai_sb_supp_glide_010_r001d260dt,AI,E20_correct__E24_correct,E21_correct__E24_correct,glide,Synthbuster
E14 Clean External,ai_sb_midjourney-v5_127_r06743f8ft,AI,E20_correct__E24_correct,E21_correct__E24_correct,midjourney-v5,Synthbuster
E14 Clean External,ai_sb_dalle2_021_r159d3942t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,dalle2,Synthbuster
E14 Clean External,real_raise_229_r1ceba29dt,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_glide_095_r045be2act,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,glide,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-1-3_169_r138ad247t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-3,Synthbuster
E14 Clean External,real_raise_093_r0b841e5at,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-2_216_r056f233bt,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-2,Synthbuster
E14 Clean External,real_raise_119_r0f8e5907t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_dalle2_018_r1297fd0bt,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,dalle2,Synthbuster
E14 Clean External,real_raise_096_r0bf7f938t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_supp_stable-diffusion-1-4_021_r00444b95t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-4,Synthbuster
E14 Clean External,real_raise_213_r1b4e82c4t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-4_196_r102b4aa4t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-4,Synthbuster
E14 Clean External,ai_sb_dalle2_026_r1ad2de34t,AI,E20_wrong__E24_wrong,E21_wrong__E24_wrong,dalle2,Synthbuster
E14 Clean External,real_raise_091_r0b61ed37t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-4_190_r09a60f63t,AI,E20_correct__E24_correct,E21_correct__E24_correct,stable-diffusion-1-4,Synthbuster
E14 Clean External,ai_sb_firefly_067_r06743f8ft,AI,E20_correct__E24_correct,E21_correct__E24_correct,firefly,Synthbuster
E14 Clean External,real_raise_069_r08b12799t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_midjourney-v5_149_r1d9a31fct,AI,E20_wrong__E24_correct,E21_correct__E24_correct,midjourney-v5,Synthbuster
E14 Clean External,ai_sb_glide_102_r0b7b1156t,AI,E20_correct__E24_correct,E21_correct__E24_correct,glide,Synthbuster
E14 Clean External,ai_sb_glide_108_r1297fd0bt,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,glide,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-2_233_r17fe8532t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-2,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-2_224_r0e7b407bt,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,stable-diffusion-2,Synthbuster
E14 Clean External,real_raise_supp_043_r16ea6386t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_140_r125f6e84t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_137_r11c4de0et,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_firefly_083_r17fe8532t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,firefly,Synthbuster
E14 Clean External,real_raise_supp_055_r1ca254b2t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_midjourney-v5_123_r026b5360t,AI,E20_correct__E24_correct,E21_correct__E24_correct,midjourney-v5,Synthbuster
E14 Clean External,real_raise_125_r101d6690t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-4_210_r1e9082f9t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-4,Synthbuster
E14 Clean External,ai_sb_midjourney-v5_135_r0f5beb66t,AI,E20_correct__E24_correct,E21_correct__E24_correct,midjourney-v5,Synthbuster
E14 Clean External,real_raise_172_r163967d4t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_dalle2_030_r1e9082f9t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,dalle2,Synthbuster
E14 Clean External,real_raise_100_r0c9910e4t,Real,E20_wrong__E24_wrong,E21_correct__E24_wrong,camera,RAISE-1k
E14 Clean External,real_raise_162_r14c2d3fct,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_dalle2_027_r1bdb6385t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,dalle2,Synthbuster
E14 Clean External,ai_sb_dalle3_052_r169c7350t,AI,E20_correct__E24_correct,E21_correct__E24_correct,dalle3,Synthbuster
E14 Clean External,ai_sb_glide_106_r102b4aa4t,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,glide,Synthbuster
E14 Clean External,real_raise_054_r06cad2d6t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_dalle2_025_r1a2095b2t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,dalle2,Synthbuster
E14 Degraded External,real_raise_135_r11850456t_test_whatsapp_q75,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,unknown
E14 Degraded External,real_raise_135_r11850456t_test_resize_q80,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,unknown
